row_label_raw,row_label_full,i),Phải thu ngắn hạn của khách hàng (Thuyết minh 5),31/12/2025VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),31/12/2024VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__31/12/2025VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__31/12/2024VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5)
i),i),i),Công ty TNHH Phần mềm FPT,51.180.101.290,50.365.855.088,,51180101290.0,50365855088.0
i),i),i),Công ty Cổ phần Viễn Thông FPT,39.584.547.618,15.308.069.762,,39584547618.0,15308069762.0
i),i),i),Công ty TNHH FPT IS,9.373.048.961,13.412.734.612,,9373048961.0,13412734612.0
i),i),i),Công ty TNHH FPT Digital,8.222.891.873,6.302.827.550,,8222891873.0,6302827550.0
i),i),i),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,1.387.192.610,3.051.642.538,,1387192610.0,3051642538.0
i),i),i),Công ty TNHH Đầu tư FPT,1.040.223.174,347.981.165,,1040223174.0,347981165.0
i),i),i),Công ty TNHH FPT Smart Cloud,853.035.048,1.243.709.969,,853035048.0,1243709969.0
i),i),i),Công ty Cổ phần Dịch vụ Trực tuyến FPT,836.689.330,265.251.442,,836689330.0,265251442.0
i),i),i),Công ty TNHH Giáo dục FPT,131.093.143,2.129.489.536,,131093143.0,2129489536.0
i),i),i),Công ty Cổ phần Synnex FPT,562.280,571.756.803,,562280.0,571756803.0
i),i),i),,112.609.385.327,92.999.318.465,,112609385327.0,92999318465.0
ii),ii),ii),Phải thu về cho vay ngắn hạn (Thuyết minh 6(a)),Phải thu về cho vay ngắn hạn (Thuyết minh 6(a)),Phải thu về cho vay ngắn hạn (Thuyết minh 6(a)),,,
ii),ii) > ii),ii),Công ty TNHH Đầu tư FPT,40.500.000.000,13.900.000.000,,40500000000.0,13900000000.0
ii),ii) > ii),ii),Công ty TNHH FPT Digital,-,16.500.000.000,,,16500000000.0
ii),ii) > ii),ii),,40.500.000.000,30.400.000.000,,40500000000.0,30400000000.0
iii),iii),iii),Phải thu về cho vay dài hạn (Thuyết minh 6(b)),Phải thu về cho vay dài hạn (Thuyết minh 6(b)),Phải thu về cho vay dài hạn (Thuyết minh 6(b)),,,
iii),iii) > iii),iii),Công ty TNHH FPT Smart Cloud,50.000.000.000,-,,50000000000.0,
iv),iv),iv),Cổ tức/phân phối lợi nhuận phải thu (Thuyết minh 7(a)),Cổ tức/phân phối lợi nhuận phải thu (Thuyết minh 7(a)),Cổ tức/phân phối lợi nhuận phải thu (Thuyết minh 7(a)),,,
iv),iv) > iv),iv),Công ty TNHH Phần mềm FPT,2.000.000.000.000,1.600.000.000.000,,2000000000000.0,1600000000000.0
iv),iv) > iv),iv),Công ty TNHH Giáo dục FPT,1.300.000.000.000,1.500.000.000.000,,1300000000000.0,1500000000000.0
iv),iv) > iv),iv),Công ty TNHH FPT IS,300.000.000.000,250.000.000.000,,300000000000.0,250000000000.0
iv),iv) > iv),iv),,3.600.000.000.000,3.350.000.000.000,,3600000000000.0,3350000000000.0
v),v),v),Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),,,
v),v) > v),v),Công ty TNHH FPT IS,31.874.723.543,134.899.329.954,,31874723543.0,134899329954.0
v),v) > v),v),Công ty TNHH Đầu tư FPT,-,52.123.703.586,,,52123703586.0
v),v) > v),v),Công ty TNHH FPT Digital,-,116.369.864,,,116369864.0
v),v) > v),v),,31.874.723.543,187.139.403.404,,31874723543.0,187139403404.0
