row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,2.134.707.779.868,277.975.662.603,22.603.070.909,77.523.123.291,2.574.612.620,2.515.384.249.291,2134707779868.0,277975662603.0,22603070909.0,77523123291.0,2574612620.0,2515384249291.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,-,8.688.798.149,8.198.138.989,-,16.886.937.138,,,8688798149.0,8198138989.0,,16886937138.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(38.172.727),-,(38.172.727),,,,-38172727.0,,-38172727.0
Tăng/Giảm khác,Nguyên giá > Tăng/Giảm khác,Tăng/Giảm khác,302.421.297,(2.295.331.063),-,-,-,(1.992.909.766),302421297.0,-2295331063.0,,,,-1992909766.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,2.135.010.201.165,275.680.331.540,31.291.869.058,85.683.089.553,2.574.612.620,2.530.240.103.936,2135010201165.0,275680331540.0,31291869058.0,85683089553.0,2574612620.0,2530240103936.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị khấu hao luỹ kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,(326.281.456.565),(117.450.477.168),(15.264.574.557),(73.685.131.495),(2.574.612.620),(535.256.252.405),-326281456565.0,-117450477168.0,-15264574557.0,-73685131495.0,-2574612620.0,-535256252405.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,(87.186.881.344),(23.243.406.401),(2.263.848.438),(4.038.743.147),-,(116.732.879.330),-87186881344.0,-23243406401.0,-2263848438.0,-4038743147.0,,-116732879330.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,38.172.727,-,38.172.727,,,,38172727.0,,38172727.0
Tại ngày 31 tháng 12 năm 2025,Giá trị khấu hao luỹ kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,(413.468.337.909),(140.693.883.569),(17.528.422.995),(77.685.701.915),(2.574.612.620),(651.950.959.008),-413468337909.0,-140693883569.0,-17528422995.0,-77685701915.0,-2574612620.0,-651950959008.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,1.808.426.323.303,160.525.185.435,7.338.496.352,3.837.991.796,-,1.980.127.996.886,1808426323303.0,160525185435.0,7338496352.0,3837991796.0,,1980127996886.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,1.721.541.863.256,134.986.447.971,13.763.446.063,7.997.387.638,-,1.878.289.144.928,1721541863256.0,134986447971.0,13763446063.0,7997387638.0,,1878289144928.0
