row_label_raw,row_label_full,Cổ tức được chia/loi nhuận đượcphân phối (Thuyết minh 25(b)),31/12/2025VND > 3.600.000.000.000,31/12/2024VND > 3.350.000.000.000,numeric__31/12/2025VND > 3.600.000.000.000,numeric__31/12/2024VND > 3.350.000.000.000
Lãi tiền gửi và cho vay,Lãi tiền gửi và cho vay,Lãi tiền gửi và cho vay,107.263.902.933,89.091.611.329,107263902933.0,89091611329.0
Phải thu khác từ bên liên quan(Thuyết minh 25(b)),Phải thu khác từ bên liên quan(Thuyết minh 25(b)),Phải thu khác từ bên liên quan(Thuyết minh 25(b)),31.874.723.543,187.139.403.404,31874723543.0,187139403404.0
Khác,Khác,Khác,19.484.114.250,18.662.898.539,19484114250.0,18662898539.0
,,,3.758.622.740.726,3.644.893.913.272,3758622740726.0,3644893913272.0
