row_label_raw,row_label_full,col_0,31/12/2025 > Giá gốc VND,31/12/2025 > Giá trị hợp lý VND,31/12/2025 > Dự phòng VND,31/12/2024 > Giá gốc VND,31/12/2024 > Giá trị hợp lý VND,31/12/2024 > Dự phòng VND,numeric__31/12/2025 > Giá gốc VND,numeric__31/12/2025 > Giá trị hợp lý VND,numeric__31/12/2025 > Dự phòng VND,numeric__31/12/2024 > Giá gốc VND,numeric__31/12/2024 > Giá trị hợp lý VND,numeric__31/12/2024 > Dự phòng VND
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,16.489.613.409.012,,(60.000.000.000),14.289.613.409.012,,-,16489613409012.0,,-60000000000.0,14289613409012.0,,
Công ty TNHH FPT IS,Công ty TNHH FPT IS,Công ty TNHH FPT IS,1.500.000.000.000,(**),-,1.300.000.000.000,(**),-,1500000000000.0,,,1300000000000.0,,
Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,1.000.000.000.000,(**),-,1.000.000.000.000,(**),-,1000000000000.0,,,1000000000000.0,,
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,4.500.000.000.000,(**),-,4.000.000.000.000,(**),-,4500000000000.0,,,4000000000000.0,,
Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,7.762.073.500.000,(**),-,6.262.073.500.000,(**),-,7762073500000.0,,,6262073500000.0,,
Công ty Cổ phần Viễn thông FPT (*),Công ty Cổ phần Viễn thông FPT (*),Công ty Cổ phần Viễn thông FPT (*),585.592.515.312,21.418.028.030.000,-,585.592.515.312,21.811.535.139.000,-,585592515312.0,21418028030000.0,,585592515312.0,21811535139000.0,
Công ty Cổ phần Dịch vụ Trực tuyến FPT (*),Công ty Cổ phần Dịch vụ Trực tuyến FPT (*),Công ty Cổ phần Dịch vụ Trực tuyến FPT (*),81.947.393.700,279.502.284.000,-,81.947.393.700,358.167.235.000,-,81947393700.0,279502284000.0,,81947393700.0,358167235000.0,
Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,1.000.000.000.000,(**),-,1.000.000.000.000,(**),-,1000000000000.0,,,1000000000000.0,,
Công ty TNHH FPT Digital,Công ty TNHH FPT Digital,Công ty TNHH FPT Digital,60.000.000.000,(**),(60.000.000.000),60.000.000.000,(**),-,60000000000.0,,-60000000000.0,60000000000.0,,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,492.500.000.000,,-,492.500.000.000,,-,492500000000.0,,,492500000000.0,,
Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,398.500.000.000,(**),-,398.500.000.000,(**),-,398500000000.0,,,398500000000.0,,
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (*),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (*),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (*),94.000.000.000,11.847.996.394.000,-,94.000.000.000,11.767.160.640.000,-,94000000000.0,11847996394000.0,,94000000000.0,11767160640000.0,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,500.000.000,,-,500.000.000,,-,500000000.0,,,500000000.0,,
Khác,Khác,Khác,500.000.000,(**),-,500.000.000,(**),-,500000000.0,,,500000000.0,,
