row_label_raw,row_label_full,col_0,Giá trị giao dịch cho,Giá trị giao dịch cho_1,numeric__Giá trị giao dịch cho,numeric__Giá trị giao dịch cho_1
,,,2016VND,2015VND,,
Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,,
Vay,Công ty Tài chính Cổ phần Điện lực > Vay,Vay,272.034.237.384,-,272034237384.0,
Chi phí dịch vụ tư vấn,Công ty Tài chính Cổ phần Điện lực > Chi phí dịch vụ tư vấn,Chi phí dịch vụ tư vấn,-,84.545.455,,84545455.0
Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,,
Nhận cổ tức,Công ty Cổ phần Thủy điện A Vương > Nhận cổ tức,Nhận cổ tức,2.708.022.500,2.192.208.700,2708022500.0,2192208700.0
Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,,
Cung cấp dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 3 > Cung cấp dịch vụ,Cung cấp dịch vụ,4.240.137.454,1.781.818.180,4240137454.0,1781818180.0
Ứng trước hợp đồng dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 3 > Ứng trước hợp đồng dịch vụ,Ứng trước hợp đồng dịch vụ,349.437.000,-,349437000.0,
Nhận ứng trước hợp đồng dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 3 > Nhận ứng trước hợp đồng dịch vụ,Nhận ứng trước hợp đồng dịch vụ,199.937.130,-,199937130.0,
Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,,
Ứng trước hợp đồng xây dựng cơ bản,Công ty Cổ phần Tư vấn Xây dựng Điện 2 > Ứng trước hợp đồng xây dựng cơ bản,Ứng trước hợp đồng xây dựng cơ bản,680.684.533,-,680684533.0,
Trung tâm Viễn thông và Công nghệ thông tin –Tập đoàn Điện lực Việt Nam,Trung tâm Viễn thông và Công nghệ thông tin –Tập đoàn Điện lực Việt Nam,Trung tâm Viễn thông và Công nghệ thông tin –Tập đoàn Điện lực Việt Nam,Trung tâm Viễn thông và Công nghệ thông tin –Tập đoàn Điện lực Việt Nam,Trung tâm Viễn thông và Công nghệ thông tin –Tập đoàn Điện lực Việt Nam,,
Chi phí dịch vụ,Trung tâm Viễn thông và Công nghệ thông tin –Tập đoàn Điện lực Việt Nam > Chi phí dịch vụ,Chi phí dịch vụ,164.213.285,72.198.737,164213285.0,72198737.0
Chi phí xây dựng cơ bản,Trung tâm Viễn thông và Công nghệ thông tin –Tập đoàn Điện lực Việt Nam > Chi phí xây dựng cơ bản,Chi phí xây dựng cơ bản,-,198.894.715,,198894715.0
Trung tâm Thông tin Điện lực – Tập đoàn Điện lực Việt Nam,Trung tâm Thông tin Điện lực – Tập đoàn Điện lực Việt Nam,Trung tâm Thông tin Điện lực – Tập đoàn Điện lực Việt Nam,Trung tâm Thông tin Điện lực – Tập đoàn Điện lực Việt Nam,Trung tâm Thông tin Điện lực – Tập đoàn Điện lực Việt Nam,,
Ứng trước hợp đồng dịch vụ,Trung tâm Thông tin Điện lực – Tập đoàn Điện lực Việt Nam > Ứng trước hợp đồng dịch vụ,Ứng trước hợp đồng dịch vụ,157.886.520,-,157886520.0,
