row_label_raw,row_label_full,col_0,Phần mềm máy vi tính VND,numeric__Phần mềm máy vi tính VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.486.838.057,1486838057.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,42.000.000,42000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.528.838.057,1528838057.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,84.329.913,84329913.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,150.037.137,150037137.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,234.367.050,234367050.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.402.508.144,1402508144.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.294.471.007,1294471007.0
