row_label_raw,row_label_full,Vay từ Tập đoàn Điện Lực Việt Nam > Khoản vay 1 (i) > Khoản vay 2 (ii),Tiền tệ > Vay từ Tập đoàn Điện Lực Việt Nam > JPY,Nămđáo hạn > Vay từ Tập đoàn Điện Lực Việt Nam > 2019 > 2021,"Lãi suất năm > Vay từ Tập đoàn Điện Lực Việt Nam > 3,21% > 2,75%",31/12/2016VND > Vay từ Tập đoàn Điện Lực Việt Nam > 1.602.051.625.184 > 203.941.254.842,1/1/2016VND > Vay từ Tập đoàn Điện Lực Việt Nam > 1.932.175.362.825 > 238.641.686.808,numeric__Tiền tệ > Vay từ Tập đoàn Điện Lực Việt Nam > JPY,numeric__Nămđáo hạn > Vay từ Tập đoàn Điện Lực Việt Nam > 2019 > 2021,"numeric__Lãi suất năm > Vay từ Tập đoàn Điện Lực Việt Nam > 3,21% > 2,75%",numeric__31/12/2016VND > Vay từ Tập đoàn Điện Lực Việt Nam > 1.602.051.625.184 > 203.941.254.842,numeric__1/1/2016VND > Vay từ Tập đoàn Điện Lực Việt Nam > 1.932.175.362.825 > 238.641.686.808
Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,,,,,
Khoản vay 1 (iii),Vay từ Công ty Tài Chính Cổ phần Điện Lực > Khoản vay 1 (iii),Khoản vay 1 (iii),JPY,2044,"0,91% - 1,4%",264.703.098.928,-,,2044.0,,264703098928.0,
Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn –chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn –chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn –chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn –chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn –chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn –chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn –chi nhánh Ninh Thuận,Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn –chi nhánh Ninh Thuận,,,,,
Khoản vay 1 (iv),Vay từ Ngân hàng Nông nghiệp và Phát triển Nông thôn –chi nhánh Ninh Thuận > Khoản vay 1 (iv),Khoản vay 1 (iv),VND,2029,Lãi suất biến đổi,290.835.991.320,284.350.683.560,,2029.0,,290835991320.0,284350683560.0
,,,,,,2.361.531.970.274,2.455.167.733.193,,,,2361531970274.0,2455167733193.0
