row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.222.301.720.215,4.182.391.587.829,57.146.079.842,35.969.655.483,253.880.507,12.498.062.923.876,8222301720215.0,4182391587829.0,57146079842.0,35969655483.0,253880507.0,12498062923876.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.843.000.000,20.271.791.091,1.802.230.676,1.616.427.400,-,26.533.449.167,2843000000.0,20271791091.0,1802230676.0,1616427400.0,,26533449167.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,4.612.680.584,790.939.570,-,-,-,5.403.620.154,4612680584.0,790939570.0,,,,5403620154.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(3.253.642.611),-,-,(3.253.642.611),,,-3253642611.0,,,-3253642611.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.229.757.400.799,4.203.454.318.490,55.694.667.907,37.586.082.883,253.880.507,12.526.746.350.586,8229757400799.0,4203454318490.0,55694667907.0,37586082883.0,253880507.0,12526746350586.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.973.277.936.790,3.767.451.274.621,38.876.637.958,29.516.769.930,253.880.507,7.809.376.499.806,3973277936790.0,3767451274621.0,38876637958.0,29516769930.0,253880507.0,7809376499806.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,222.448.392.107,126.055.227.551,3.324.470.264,3.414.839.967,-,355.242.929.889,222448392107.0,126055227551.0,3324470264.0,3414839967.0,,355242929889.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(3.060.625.079),-,-,(3.060.625.079),,,-3060625079.0,,,-3060625079.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.195.726.328.897,3.893.506.502.172,39.140.483.143,32.931.609.897,253.880.507,8.161.558.804.616,4195726328897.0,3893506502172.0,39140483143.0,32931609897.0,253880507.0,8161558804616.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.249.023.783.425,414.940.313.208,18.269.441.884,6.452.885.553,-,4.688.686.424.070,4249023783425.0,414940313208.0,18269441884.0,6452885553.0,,4688686424070.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.034.031.071.902,309.947.816.318,16.554.184.764,4.654.472.986,-,4.365.187.545.970,4034031071902.0,309947816318.0,16554184764.0,4654472986.0,,4365187545970.0
