row_label_raw,row_label_full,"Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh","Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 01/01/2017 > Giá trị","Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 01/01/2017 > Số có khả năng trả nợ","Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > Trong năm > Tăng","Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > Trong năm > Giảm","Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2017 > Giá trị","Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2017 > Số có khả năng trả nợ","Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2017","numeric__Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 01/01/2017 > Giá trị","numeric__Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 01/01/2017 > Số có khả năng trả nợ","numeric__Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > Trong năm > Tăng","numeric__Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > Trong năm > Giảm","numeric__Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2017 > Giá trị","numeric__Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2017 > Số có khả năng trả nợ","numeric__Công ty mẹ - Công ty TNHH Một thành viên Tổng Công ty Lương thực Miền Nam Số 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2017"
,,,VND,VND,VND,VND,VND,VND,,,,,,,,
a) Vay ngắn hạn- Vay ngắn hạn,a) Vay ngắn hạn- Vay ngắn hạn,a) Vay ngắn hạn- Vay ngắn hạn,2.798.890.538.843,2.798.890.538.843,8.974.942.140.636,9.550.776.672.184,2.223.056.007.295,2.223.056.007.295,,2798890538843.0,2798890538843.0,8974942140636.0,9550776672184.0,2223056007295.0,2223056007295.0,
Ngân hàng TMCP Tiên Phong (1),Ngân hàng TMCP Tiên Phong (1),Ngân hàng TMCP Tiên Phong (1),-,-,46.421.052,-,46.421.052,46.421.052,,,,46421052.0,,46421052.0,46421052.0,
Ngân hàng TMCP Ngoại thương Việt Nam (2),Ngân hàng TMCP Ngoại thương Việt Nam (2),Ngân hàng TMCP Ngoại thương Việt Nam (2),379.976.628.112,379.976.628.112,3.094.446.318.987,2.800.472.482.198,673.950.464.901,673.950.464.901,,379976628112.0,379976628112.0,3094446318987.0,2800472482198.0,673950464901.0,673950464901.0,
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,89.033.032.613,89.033.032.613,-,89.033.032.613,-,-,,89033032613.0,89033032613.0,,89033032613.0,,,
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (3),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (3),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (3),943.613.649.217,943.613.649.217,1.251.654.757.107,1.888.244.264.456,307.024.141.868,307.024.141.868,,943613649217.0,943613649217.0,1251654757107.0,1888244264456.0,307024141868.0,307024141868.0,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở giao dịch 2 (4),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở giao dịch 2 (4),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở giao dịch 2 (4),165.266.220.210,165.266.220.210,324.032.619.021,463.261.327.431,26.037.511.800,26.037.511.800,,165266220210.0,165266220210.0,324032619021.0,463261327431.0,26037511800.0,26037511800.0,
Ngân hàng TMCP Quân đội (5),Ngân hàng TMCP Quân đội (5),Ngân hàng TMCP Quân đội (5),242.493.891.654,242.493.891.654,824.399.307.452,741.146.136.072,325.747.063.034,325.747.063.034,,242493891654.0,242493891654.0,824399307452.0,741146136072.0,325747063034.0,325747063034.0,
Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,136.294.057.890,136.294.057.890,357.716.674.931,494.010.732.821,-,-,,136294057890.0,136294057890.0,357716674931.0,494010732821.0,,,
Ngân hàng TMCP Phát triển TP Hồ Chí Minh (6),Ngân hàng TMCP Phát triển TP Hồ Chí Minh (6),Ngân hàng TMCP Phát triển TP Hồ Chí Minh (6),360.106.295.227,360.106.295.227,1.481.678.354.188,1.297.165.109.306,544.619.540.109,544.619.540.109,,360106295227.0,360106295227.0,1481678354188.0,1297165109306.0,544619540109.0,544619540109.0,
