row_label_raw,row_label_full,7 . PHẢI THU KHÁC,7 . PHẢI THU KHÁC_1,7 . PHẢI THU KHÁC_2,7 . PHẢI THU KHÁC_3,7 . PHẢI THU KHÁC_4,numeric__7 . PHẢI THU KHÁC_1,numeric__7 . PHẢI THU KHÁC_2,numeric__7 . PHẢI THU KHÁC_3,numeric__7 . PHẢI THU KHÁC_4
,,,31/12/2017,31/12/2017,01/01/2017,01/01/2017,,,,
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
,,,VND,VND,VND,VND,,,,
b) Dải hạn,b) Dải hạn,b) Dải hạn,b) Dải hạn,b) Dải hạn,b) Dải hạn,b) Dải hạn,,,,
- Phải thu về cổ phần hóa,b) Dải hạn > - Phải thu về cổ phần hóa,- Phải thu về cổ phần hóa,116.966.534,-,116.966.534,-,116966534.0,,116966534.0,
+ Công ty CP Hoàn Mỹ,b) Dải hạn > + Công ty CP Hoàn Mỹ,+ Công ty CP Hoàn Mỹ,8.400.000,-,8.400.000,-,8400000.0,,8400000.0,
+ Công ty Lương thực Quảng Nam - Đà Nẵng,b) Dải hạn > + Công ty Lương thực Quảng Nam - Đà Nẵng,+ Công ty Lương thực Quảng Nam - Đà Nẵng,108.566.534,-,108.566.534,-,108566534.0,,108566534.0,
- Công ty Lương thực Long An chi hộ Hội đồng hỗ trợ bởi thường huyện Vĩnh Hưng,b) Dải hạn > - Công ty Lương thực Long An chi hộ Hội đồng hỗ trợ bởi thường huyện Vĩnh Hưng,- Công ty Lương thực Long An chi hộ Hội đồng hỗ trợ bởi thường huyện Vĩnh Hưng,8.113.347.825,-,8.113.347.825,-,8113347825.0,,8113347825.0,
"- Ký cược, ký quỹ","b) Dải hạn > - Ký cược, ký quỹ","- Ký cược, ký quỹ",60.500.000,-,73.200.000,-,60500000.0,,73200000.0,
- Phải thu Cục thuế huyện Cái Bè,b) Dải hạn > - Phải thu Cục thuế huyện Cái Bè,- Phải thu Cục thuế huyện Cái Bè,-,-,15.234.946,-,,,15234946.0,
,,,8.290.814.359,-,8.318.749.305,-,8290814359.0,,8318749305.0,
