row_label_raw,row_label_full,col_0,Giá trị quyền sử dụng đất,Quyền sử dụng đất và Nhà,Cộng,numeric__Giá trị quyền sử dụng đất,numeric__Quyền sử dụng đất và Nhà,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,14.831.868.000,6.503.362.172,21.335.230.172,14831868000.0,6503362172.0,21335230172.0
- Chuyển sang TSCĐ hữu hình,Nguyên giá > - Chuyển sang TSCĐ hữu hình,- Chuyển sang TSCĐ hữu hình,-,(767.845.076),(767.845.076),,-767845076.0,-767845076.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,14.831.868.000,5.735.517.096,20.567.385.096,14831868000.0,5735517096.0,20567385096.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.039.823.898,3.611.458.386,4.651.282.284,1039823898.0,3611458386.0,4651282284.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,167.123.568,167.123.568,,167123568.0,167123568.0
- Chuyển sang TSCĐ hữu hình,Giá trị hao mòn lũy kế > - Chuyển sang TSCĐ hữu hình,- Chuyển sang TSCĐ hữu hình,-,(223.486.576),(223.486.576),,-223486576.0,-223486576.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.039.823.898,3.555.095.378,4.594.919.276,1039823898.0,3555095378.0,4594919276.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,13.792.044.102,2.891.903.786,16.683.947.888,13792044102.0,2891903786.0,16683947888.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,13.792.044.102,2.180.421.718,15.972.465.820,13792044102.0,2180421718.0,15972465820.0
