row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,,,,
Vay và nợ,Tại ngày 31/12/2017 > Vay và nợ,Vay và nợ,2.270.688.781.181,46.654.872.081,-,2.317.343.653.262,2270688781181.0,46654872081.0,,2317343653262.0
"Phải trả người bán,phải trả khác","Tại ngày 31/12/2017 > Phải trả người bán,phải trả khác","Phải trả người bán,phải trả khác",237.560.688.910,583.845.985.026,-,821.406.673.936,237560688910.0,583845985026.0,,821406673936.0
Chi phí phải trả,Tại ngày 31/12/2017 > Chi phí phải trả,Chi phí phải trả,33.200.000.757,-,-,33.200.000.757,33200000757.0,,,33200000757.0
,,,2.541.449.470.848,630.500.857.107,-,3.171.950.327.955,2541449470848.0,630500857107.0,,3171950327955.0
Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,,,,
Vay và nợ,Tại ngày 01/01/2017 > Vay và nợ,Vay và nợ,2.837.818.170.231,90.194.359.168,-,2.928.012.529.399,2837818170231.0,90194359168.0,,2928012529399.0
"Phải trả người bán,phải trả khác","Tại ngày 01/01/2017 > Phải trả người bán,phải trả khác","Phải trả người bán,phải trả khác",122.119.521.347,584.735.174.253,-,706.854.695.600,122119521347.0,584735174253.0,,706854695600.0
Chi phí phải trả,Tại ngày 01/01/2017 > Chi phí phải trả,Chi phí phải trả,21.412.457.798,-,-,21.412.457.798,21412457798.0,,,21412457798.0
,,,2.981.350.149.376,674.929.533.421,-,3.656.279.682.797,2981350149376.0,674929533421.0,,3656279682797.0
