row_label_raw,row_label_full,col_0,Số phải thu đầu năm,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số phải thu cuối năm,Số phải nộp cuối năm,numeric__Số phải thu đầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,-,2.772.607.056,30.570.496.726,30.877.755.962,100.357.843,2.565.705.663,,2772607056.0,30570496726.0,30877755962.0,100357843.0,2565705663.0
"Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu",-,-,2.412.824.884,2.418.479.925,5.655.041,-,,,2412824884.0,2418479925.0,5655041.0,
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,3.947.106.341,-,-,(185.344.521),3.761.761.820,-,3947106341.0,,,-185344521.0,3761761820.0,
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,207.827.187,27.504.149,945.694.322,878.144.764,122.018.547,9.245.067,207827187.0,27504149.0,945694322.0,878144764.0,122018547.0,9245067.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,411.878,6.497.984,6.511.475,-,398.387,,411878.0,6497984.0,6511475.0,,398387.0
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",-,2.913.931.612,33.044.528.773,23.415.255.240,3.243.424,12.546.448.569,,2913931612.0,33044528773.0,23415255240.0,3243424.0,12546448569.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,-,51.690.268,51.690.268,-,-,,,51690268.0,51690268.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,260.093.647,261.093.647,1.000.000,-,,,260093647.0,261093647.0,1000000.0,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,-,34.288.727,35.288.727,1.000.000,-,,,34288727.0,35288727.0,1000000.0,
,,,4.154.933.528,5.714.454.695,67.326.115.331,57.758.875.487,3.995.036.675,15.121.797.686,4154933528.0,5714454695.0,67326115331.0,57758875487.0,3995036675.0,15121797686.0
