row_label_raw,row_label_full,16 . PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN,16 . PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN_1,16 . PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN_2,16 . PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN_3,16 . PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN_4,numeric__16 . PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN_1,numeric__16 . PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN_2,numeric__16 . PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN_3,numeric__16 . PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN_4
,,,31/12/2017,31/12/2017,01/01/2017,01/01/2017,,,,
,,,Giá trịVND,Số có khả năng trả nợVND,Giá trịVND,Số có khả năng trả nợVND,,,,
a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,,,,
- Công ty CP Cơ khí chế tạo máy Long An,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty CP Cơ khí chế tạo máy Long An,- Công ty CP Cơ khí chế tạo máy Long An,3.925.627.902,3.925.627.902,2.608.755.802,2.608.755.802,3925627902.0,3925627902.0,2608755802.0,2608755802.0
- Phoenix Global DMCC,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Phoenix Global DMCC,- Phoenix Global DMCC,56.585.348.161,56.585.348.161,-,-,56585348161.0,56585348161.0,,
- Chi nhánh Công ty CP Sữa Việt Nam tại Cần Thơ,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Chi nhánh Công ty CP Sữa Việt Nam tại Cần Thơ,- Chi nhánh Công ty CP Sữa Việt Nam tại Cần Thơ,22.370.862.866,22.370.862.866,17.581.550.712,17.581.550.712,22370862866.0,22370862866.0,17581550712.0,17581550712.0
- Chi nhánh Tổng Công ty Thương mại Hà Nội tại Tinh Đồng Tháp,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Chi nhánh Tổng Công ty Thương mại Hà Nội tại Tinh Đồng Tháp,- Chi nhánh Tổng Công ty Thương mại Hà Nội tại Tinh Đồng Tháp,12.913.427.500,12.913.427.500,-,-,12913427500.0,12913427500.0,,
- Công ty Lương thực Long An,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty Lương thực Long An,- Công ty Lương thực Long An,35.115.550.000,35.115.550.000,-,-,35115550000.0,35115550000.0,,
- Công ty TNHH Đa Năng,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty TNHH Đa Năng,- Công ty TNHH Đa Năng,83.903.084.600,83.903.084.600,-,-,83903084600.0,83903084600.0,,
- Công ty CP Bảo vệ Thực vật An Giang,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty CP Bảo vệ Thực vật An Giang,- Công ty CP Bảo vệ Thực vật An Giang,-,-,2.867.152.925,2.867.152.925,,,2867152925.0,2867152925.0
- Công ty CP Lâm nghiệp và Xây dựng Việt Úc,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty CP Lâm nghiệp và Xây dựng Việt Úc,- Công ty CP Lâm nghiệp và Xây dựng Việt Úc,535.469.713,535.469.713,2.514.842.222,2.514.842.222,535469713.0,535469713.0,2514842222.0,2514842222.0
- Công ty TNHH Dương Vũ,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty TNHH Dương Vũ,- Công ty TNHH Dương Vũ,-,-,2.867.152.925,2.867.152.925,,,2867152925.0,2867152925.0
- Doanh nghiệp Tư nhân Năm Điều,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Doanh nghiệp Tư nhân Năm Điều,- Doanh nghiệp Tư nhân Năm Điều,-,-,2.867.152.925,2.867.152.925,,,2867152925.0,2867152925.0
- Công ty CP Xuất nhập khẩu Kiên Giang,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty CP Xuất nhập khẩu Kiên Giang,- Công ty CP Xuất nhập khẩu Kiên Giang,36.575.000,36.575.000,3.204.474.125,3.204.474.125,36575000.0,36575000.0,3204474125.0,3204474125.0
- Công ty TNHH Đầu tư Bình Lợi,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty TNHH Đầu tư Bình Lợi,- Công ty TNHH Đầu tư Bình Lợi,2.209.396.500,2.209.396.500,2.209.396.500,2.209.396.500,2209396500.0,2209396500.0,2209396500.0,2209396500.0
- Phải trả các đối tượng khác,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Phải trả các đối tượng khác,- Phải trả các đối tượng khác,7.369.003.216,7.369.003.216,50.217.258.246,50.217.258.246,7369003216.0,7369003216.0,50217258246.0,50217258246.0
,,,224.964.345.458,224.964.345.458,86.937.736.382,86.937.736.382,224964345458.0,224964345458.0,86937736382.0,86937736382.0
b) Phải trả người bán là các bên liên quan(Xem thông tin chi tiết tại Thuyết minh 39),a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > b) Phải trả người bán là các bên liên quan(Xem thông tin chi tiết tại Thuyết minh 39),b) Phải trả người bán là các bên liên quan(Xem thông tin chi tiết tại Thuyết minh 39),1.345.340.296,1.345.340.296,6.412.900.792,6.412.900.792,1345340296.0,1345340296.0,6412900792.0,6412900792.0
