row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản cố định vô hình khác,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,112.646.248.264,6.309.154.866,9.462.055.683,128.417.458.813,112646248264.0,6309154866.0,9462055683.0,128417458813.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,112.646.248.264,6.309.154.866,9.462.055.683,128.417.458.813,112646248264.0,6309154866.0,9462055683.0,128417458813.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,7.872.564.560,5.123.336.074,7.179.113.607,20.175.014.241,7872564560.0,5123336074.0,7179113607.0,20175014241.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.752.002.836,278.069.460,156.168.948,2.186.241.244,1752002836.0,278069460.0,156168948.0,2186241244.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,9.624.567.396,5.401.405.534,7.335.282.555,22.361.255.485,9624567396.0,5401405534.0,7335282555.0,22361255485.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,104.773.683.704,1.185.818.792,2.282.942.076,108.242.444.572,104773683704.0,1185818792.0,2282942076.0,108242444572.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,103.021.680.868,907.749.332,2.126.773.128,106.056.203.328,103021680868.0,907749332.0,2126773128.0,106056203328.0
