row_label_raw,row_label_full,Tên nhà cung cấp,Mặt hàng,Đơn vị tính,Số lượng,numeric__Mặt hàng,numeric__Đơn vị tính,numeric__Số lượng
Công ty TNHH Willmar Marketing CLV,Công ty TNHH Willmar Marketing CLV,Công ty TNHH Willmar Marketing CLV,Công nghệ phẩm,Cái,5.009,,,5009.0
Công ty CP Hàng tiêu dùng Masan,Công ty CP Hàng tiêu dùng Masan,Công ty CP Hàng tiêu dùng Masan,Công nghệ phẩm,Cái,1.913,,,1913.0
Công ty CP Diana Unicharm,Công ty CP Diana Unicharm,Công ty CP Diana Unicharm,Đồ dùng trẻ em,Cái,1.876,,,1876.0
Công ty CP Vinacafe Biên Hòa,Công ty CP Vinacafe Biên Hòa,Công ty CP Vinacafe Biên Hòa,Café các loại,Cái,139.324,,,139324.0
Chi nhánh Công ty CP Sửa Việt Nam tại Cần Thơ,Chi nhánh Công ty CP Sửa Việt Nam tại Cần Thơ,Chi nhánh Công ty CP Sửa Việt Nam tại Cần Thơ,Hàng hóa khuyến mãi,Cái,41.717,,,41717.0
Tổng,Tổng,Tổng,,,189.839,,,189839.0
