row_label_raw,row_label_full,col_0,31/12/2017,31/12/2017_1,01/01/2017,01/01/2017_1,numeric__31/12/2017,numeric__31/12/2017_1,numeric__01/01/2017,numeric__01/01/2017_1
,,,Giá gốcVND,Dự phòngVND,Giá gốcVND,Dự phòngVND,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,665.103.695.062,-,396.213.712.885,-,665103695062.0,,396213712885.0,
"Phải thu khách hàng, phải thu khác","Tài sản tài chính > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.425.596.776.528,(171.467.401.814),1.465.810.619.231,(171.467.401.814),1425596776528.0,-171467401814.0,1465810619231.0,-171467401814.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,2.000.000.000,-,-,-,2000000000.0,,,
Đầu tư dài hạn,Tài sản tài chính > Đầu tư dài hạn,Đầu tư dài hạn,84.083.060.000,(34.113.487.048),57.213.060.000,(29.514.824.252),84083060000.0,-34113487048.0,57213060000.0,-29514824252.0
,,,2.176.783.531.590,(205.580.888.862),1.919.237.392.116,(200.982.226.066),2176783531590.0,-205580888862.0,1919237392116.0,-200982226066.0
,,,,,Giá trị số kế toán,Giá trị số kế toán,,,,
,,,,,31/12/2017VND,01/01/2017VND,,,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,,,2.317.343.653.262,2.928.012.529.399,,,2317343653262.0,2928012529399.0
"Phải trả người bán, phải trả khác","Nợ phải trả tài chính > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",,,821.406.673.936,706.854.695.600,,,821406673936.0,706854695600.0
Chi phí phải trả,Nợ phải trả tài chính > Chi phí phải trả,Chi phí phải trả,,,33.200.000.757,21.412.457.798,,,33200000757.0,21412457798.0
,,,,,3.171.950.327.955,3.656.279.682.797,,,3171950327955.0,3656279682797.0
