row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Vốn khác của chủ sở hữu,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Nguồn vốn đầu tư Xây dựng cơ bản,Quỹ hỗ trợ xếp xếp xếp doanh nghiệp,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Nguồn vốn đầu tư Xây dựng cơ bản,numeric__Quỹ hỗ trợ xếp xếp xếp doanh nghiệp,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.397.676.292.691,757.911.608.669,1.764.541.291,1.028.955.681.355(256.886.514.079),(959.327.467.053),395.502.963.188(167.614.562.909),208.167.330.546,3.830.650.950.687,2397676292691.0,757911608669.0,1764541291.0,,-959327467053.0,,208167330546.0,3830650950687.0
Tăng vốn kết chuyển nguồn đầu tư,Tăng vốn kết chuyển nguồn đầu tư,Tăng vốn kết chuyển nguồn đầu tư,424.501.076.988,-,-,1.028.955.681.355(256.886.514.079),-,395.502.963.188(167.614.562.909),-,-,424501076988.0,,,,,,,
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,156.523.037.614,-,-,156.523.037.614,,,,,156523037614.0,,,156523037614.0
Đơn vị thành viên kết chuyển nguồn,Đơn vị thành viên kết chuyển nguồn,Đơn vị thành viên kết chuyển nguồn,-,7.291.261.629,-,-,-,-,-,7.291.261.629,,7291261629.0,,,,,,7291261629.0
Hoàn thuế thu nhập doanh nghiệp,Hoàn thuế thu nhập doanh nghiệp,Hoàn thuế thu nhập doanh nghiệp,-,-,-,-,4.325.703.902,-,-,4.325.703.902,,,,,4325703902.0,,,4325703902.0
Lãi tiền gửi quỹ hỗ trợ sắp xếp doanh nghiệp,Lãi tiền gửi quỹ hỗ trợ sắp xếp doanh nghiệp,Lãi tiền gửi quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,-,-,-,624.501.992,624.501.992,,,,,,,624501992.0,624501992.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.822.177.369.679,765.202.870.298,1.764.541.291,772.069.167.276,(798.478.725.537),227.888.400.279,208.791.832.538,3.999.415.455.824,2822177369679.0,765202870298.0,1764541291.0,772069167276.0,-798478725537.0,227888400279.0,208791832538.0,3999415455824.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.822.177.369.679,765.202.870.298,1.764.541.291,772.069.167.276(318.170.411.527),(798.478.725.537),227.888.400.279(1.127.576.814),208.791.832.538,3.999.415.455.824,2822177369679.0,765202870298.0,1764541291.0,,-798478725537.0,,208791832538.0,3999415455824.0
Tăng vốn kết chuyển nguồn đầu tư,Tăng vốn kết chuyển nguồn đầu tư,Tăng vốn kết chuyển nguồn đầu tư,319.297.988.341,-,-,772.069.167.276(318.170.411.527),-,227.888.400.279(1.127.576.814),-,-,319297988341.0,,,,,,,
Lỗ trong năm nay,Lỗ trong năm nay,Lỗ trong năm nay,-,-,-,-,(120.318.113.815),-,-,(120.318.113.815),,,,,-120318113815.0,,,-120318113815.0
Tăng do cổ phần hóa công ty con,Tăng do cổ phần hóa công ty con,Tăng do cổ phần hóa công ty con,-,-,-,-,-,-,197.666.878.722,197.666.878.722,,,,,,,197666878722.0,197666878722.0
Hoàn trả lợi nhuận kết chuyển năm 2015 của Công ty Lương thực,Hoàn trả lợi nhuận kết chuyển năm 2015 của Công ty Lương thực,Hoàn trả lợi nhuận kết chuyển năm 2015 của Công ty Lương thực,-,-,-,-,(32.957.446),-,-,(32.957.446),,,,,-32957446.0,,,-32957446.0
Tiền Giang Giảm do cổ phần hóa công ty con,Tiền Giang Giảm do cổ phần hóa công ty con,Tiền Giang Giảm do cổ phần hóa công ty con,-,(218.013.264.291),-,-,-,-,-,(218.013.264.291),,-218013264291.0,,,,,,-218013264291.0
Lãi tiền gửi quỹ hỗ trợ sắp xếp doanh nghiệp,Lãi tiền gửi quỹ hỗ trợ sắp xếp doanh nghiệp,Lãi tiền gửi quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,-,-,-,1.044.689.419,1.044.689.419,,,,,,,1044689419.0,1044689419.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.141.475.358.020,547.189.606.007,1.764.541.291,453.898.755.749,(918.829.796.798),226.760.823.465,407.503.400.679,3.859.762.688.413,3141475358020.0,547189606007.0,1764541291.0,453898755749.0,-918829796798.0,226760823465.0,407503400679.0,3859762688413.0
