row_label_raw,row_label_full,col_0,MCHVND,MHVND,MNSVND,TổngVND,numeric__MCHVND,numeric__MHVND,numeric__MNSVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,516.600.000.000,11.950.000.000.000,1.953.009.013.812,14.419.609.013.812,516600000000.0,11950000000000.0,1953009013812.0,14419609013812.0
Thanh lý,Thanh lý,Thanh lý,-,-,(37.093.149.402),(37.093.149.402),,,-37093149402.0,-37093149402.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,516.600.000.000,11.950.000.000.000,1.915.915.864.410,14.382.515.864.410,516600000000.0,11950000000000.0,1915915864410.0,14382515864410.0
