row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,7.680.756.740.000,10.649.796.345.096,(1.695.338.182.568),(641.110.498.916),30.023.103.428,16.024.127.507.040,7680756740000.0,10649796345096.0,-1695338182568.0,-641110498916.0,30023103428.0,16024127507040.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,3.794.207.000.000,(3.794.207.000.000),-,-,-,-,3794207000000.0,-3794207000000.0,,,,
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,98.776.000.000,(50.000.000),-,-,-,98.726.000.000,98776000000.0,-50000000.0,,,,98726000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.353.394.543.016,1.353.394.543.016,,,,,1353394543016.0,1353394543016.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,-,(5.876.976.565.699),-,(5.876.976.565.699),,,,-5876976565699.0,,-5876976565699.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,11.573.739.740.000,6.855.539.345.096,(1.695.338.182.568),(6.518.087.064.615),1.383.417.646.444,11.599.271.484.357,11573739740000.0,6855539345096.0,-1695338182568.0,-6518087064615.0,1383417646444.0,11599271484357.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,57.755.740.000,(50.000.000),-,-,-,57.705.740.000,57755740000.0,-50000000.0,,,,57705740000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.836.770.896.284,1.836.770.896.284,,,,,1836770896284.0,1836770896284.0
Phát hành lại cổ phiếu quỹ,Phát hành lại cổ phiếu quỹ,Phát hành lại cổ phiếu quỹ,-,4.228.927.195.983,-,6.518.087.064.615,-,10.747.014.260.598,,4228927195983.0,,6518087064615.0,,10747014260598.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,11.631.495.480.000,11.084.416.541.079,(1.695.338.182.568),-,3.220.188.542.728,24.240.762.381.239,11631495480000.0,11084416541079.0,-1695338182568.0,,3220188542728.0,24240762381239.0
