row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,2018VND,2017VND,numeric__Tính chất giao dịch,numeric__2018VND,numeric__2017VND
Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,,,
Công ty TNHH Tầm nhìnMasan,Công ty con sở hữu trực tiếp > Công ty TNHH Tầm nhìnMasan,Công ty TNHH Tầm nhìnMasan,Góp vốn,-,5.333.185.120.000,,,5333185120000.0
Công ty TNHH Tầm nhìnMasan,Công ty con sở hữu trực tiếp > Công ty TNHH Tầm nhìnMasan,Công ty TNHH Tầm nhìnMasan,Khoản cho vay đã thu,-,4.798.331.784.920,,,4798331784920.0
Công ty TNHH Tầm nhìnMasan,Công ty con sở hữu trực tiếp > Công ty TNHH Tầm nhìnMasan,Công ty TNHH Tầm nhìnMasan,Thu nhập lãi cho vay,-,254.457.443.495,,,254457443495.0
Công ty TNHH Tầm nhìnMasan,Công ty con sở hữu trực tiếp > Công ty TNHH Tầm nhìnMasan,Công ty TNHH Tầm nhìnMasan,Thanh lý trái phiếu chuyểnđổi của một công ty liên kết,-,1.063.335.876.240,,,1063335876240.0
Công ty TNHHMasanConsumerHoldings,Công ty con sở hữu trực tiếp > Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Cổ tức,1.320.000.000.000,973.151.229.857,,1320000000000.0,973151229857.0
Công ty TNHHMasanConsumerHoldings,Công ty con sở hữu trực tiếp > Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Khoản cho vay đã cấp,2.800.000.000.000,-,,2800000000000.0,
Công ty TNHHMasanConsumerHoldings,Công ty con sở hữu trực tiếp > Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Thu nhập lãi cho vay,24.931.506.850,-,,24931506850.0,
Công ty Cổ phần MasanNutri-Science,Công ty con sở hữu trực tiếp > Công ty Cổ phần MasanNutri-Science,Công ty Cổ phần MasanNutri-Science,Cổ tức,1.135.573.000.000,-,,1135573000000.0,
Công ty Cổ phần Tài nguyênMasan,Công ty con sở hữu trực tiếp > Công ty Cổ phần Tài nguyênMasan,Công ty Cổ phần Tài nguyênMasan,Thu nhập lãi trái phiếu,16.027.323.287,-,,16027323287.0,
Công ty Cổ phần Hàng tiêu dùng Masan,Công ty con sở hữu trực tiếp > Công ty Cổ phần Hàng tiêu dùng Masan,Công ty Cổ phần Hàng tiêu dùng Masan,Chia sẻ chi phí công nghệthông tin,4.996.948.188,-,,4996948188.0,
Công ty Cổ phần Hàng tiêu dùng Masan,Công ty con sở hữu trực tiếp > Công ty Cổ phần Hàng tiêu dùng Masan,Công ty Cổ phần Hàng tiêu dùng Masan,Mua hàng,22.526.304,11.187.458,,22526304.0,11187458.0
Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,,,
Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Công ty con sở hữu gián tiếp > Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Khoản vay nhận được,-,910.000.000.000,,,910000000000.0
Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Công ty con sở hữu gián tiếp > Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Khoản vay đã trả,-,369.000.000.000,,,369000000000.0
Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Công ty con sở hữu gián tiếp > Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Chi phí lãi vay,9.678.054.795,68.651.041.097,,9678054795.0,68651041097.0
Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Công ty con sở hữu gián tiếp > Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Cấn trừ cổ tức phải thu với khoản vay,937.000.000.000,-,,937000000000.0,
Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Công ty con sở hữu gián tiếp > Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡngNông nghiệp Quốc tế,Cấn trừ cổ tức phải thu với lãi vay phải trả,82.918.630.139,-,,82918630139.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,
Techcombank và các công ty con,Các bên liên quan khác > Techcombank và các công ty con,Techcombank và các công ty con,Trái phiếu phát hành,-,3.000.000.000.000,,,3000000000000.0
Techcombank và các công ty con,Các bên liên quan khác > Techcombank và các công ty con,Techcombank và các công ty con,Mua chứng khoán kinh doanh,2.016.733.635.616,-,,2016733635616.0,
Techcombank và các công ty con,Các bên liên quan khác > Techcombank và các công ty con,Techcombank và các công ty con,Bán chứng khoán kinh doanh,504.273.800.000,-,,504273800000.0,
Ban quản lý chủ chốt,Các bên liên quan khác > Ban quản lý chủ chốt,Ban quản lý chủ chốt,Thù lao cho Ban quản lý chủ chốt (*),14.569.029.368,9.145.423.787,,14569029368.0,9145423787.0
