row_label_raw,row_label_full,col_0,Chỉ tiêu,Mã số,Năm 2016,Đơn vị tính: VND Năm 2015,numeric__Chỉ tiêu,numeric__Mã số,numeric__Năm 2016,numeric__Đơn vị tính: VND Năm 2015
I/,I/,I/,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1.,I/ > 1.,1.,"Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",01,494.309.079.012,194.971.576.077,,1.0,494309079012.0,194971576077.0
2.,I/ > 2.,2.,"Tiền chi trả cho người cung cấp hàng hoá, dịch vụ",02,(404.835.880.885),(1.001.982.171.154),,2.0,-404835880885.0,-1001982171154.0
3.,I/ > 3.,3.,Tiền chi trả cho người lao động,03,(14.248.934.442),(19.893.888.876),,3.0,-14248934442.0,-19893888876.0
4.,I/ > 4.,4.,Tiền chi trả lãi vay,04,(31.251.385.785),(12.665.533.322),,4.0,-31251385785.0,-12665533322.0
5.,I/ > 5.,5.,Thuế TNDN đã nộp,05,(2.337.000.000),(6.157.789.552),,5.0,-2337000000.0,-6157789552.0
6.,I/ > 6.,6.,Tiền thu khác từ hoạt động kinh doanh,06,625.403.040.013,808.215.720.027,,6.0,625403040013.0,808215720027.0
7.,I/ > 7.,7.,Tiền chi khác cho hoạt động kinh doanh,07,(658.997.835.291),(335.685.601.753),,7.0,-658997835291.0,-335685601753.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,8.041.082.622,(373.197.688.553),,20.0,8041082622.0,-373197688553.0
II/,II/,II/,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,
1.,II/ > 1.,1.,"Tiền chi đề mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(7.023.987.284),(4.388.320.000),,21.0,-7023987284.0,-4388320000.0
2.,II/ > 2.,2.,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,630.000.000,530.000.000,,22.0,630000000.0,530000000.0
3.,II/ > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(3.000.000.000),-,,23.0,-3000000000.0,
4.,II/ > 4.,4.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(423.527.331.967),(304.225.788.808),,25.0,-423527331967.0,-304225788808.0
5.,II/ > 5.,5.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,311.332.500.000,478.580.000.000,,26.0,311332500000.0,478580000000.0
6.,II/ > 6.,6.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,2.054.976.425,2.508.909.566,,27.0,2054976425.0,2508909566.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(119.533.842.826),173.004.800.758,,30.0,-119533842826.0,173004800758.0
III/,III/,III/,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,
1.,III/ > 1.,1.,Tiền thu từ đi vay,33,971.444.742.579,677.545.996.493,,33.0,971444742579.0,677545996493.0
2.,III/ > 2.,2.,Tiền trả nợ gốc vay,34,(774.493.860.868),(505.997.358.050),,34.0,-774493860868.0,-505997358050.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,196.950.881.711,171.548.638.443,,40.0,196950881711.0,171548638443.0
,,,Lưu chuyển tiền thuần trong kỳ,50,85.458.121.507,(28.644.249.352),,50.0,85458121507.0,-28644249352.0
,,,Tiền và tương đương tiền đầu kỳ,60,9.465.199.342,38.109.448.694,,60.0,9465199342.0,38109448694.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi,61,-,-,,61.0,,
,,,Tiền và tương đương tiền cuối kỳ,70,94.923.320.849,9.465.199.342,,70.0,94923320849.0,9465199342.0
