row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2016,Giá trị ghi sổ > 01/01/2016,numeric__Giá trị ghi sổ > 31/12/2016,numeric__Giá trị ghi sổ > 01/01/2016
,,,VND,VND,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,572.380.611.204,375.429.729.493,572380611204.0,375429729493.0
Phải trả người bán và phải trả khác,Nợ phải trả tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,620.734.499.830,552.059.774.574,620734499830.0,552059774574.0
Chi phí phải trả,Nợ phải trả tài chính > Chi phí phải trả,Chi phí phải trả,688.072.340.420,763.305.431.712,688072340420.0,763305431712.0
,,,1.881.187.451.454,1.690.794.935.779,1881187451454.0,1690794935779.0
