row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuốngVND,Trên 1 nămđến 5 nămVND,Trên 5 nămVND,CộngVND,numeric__Từ 1 nămtrở xuốngVND,numeric__Trên 1 nămđến 5 nămVND,numeric__Trên 5 nămVND,numeric__CộngVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,94.923.320.849,-,-,94.923.320.849,94923320849.0,,,94923320849.0
Phải thu khách hàng và phải thu khác,Tại ngày 31/12/2016 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,406.768.467.401,77.348.000.000,-,484.116.467.401,406768467401.0,77348000000.0,,484116467401.0
Đầu tư tài chính,Tại ngày 31/12/2016 > Đầu tư tài chính,Đầu tư tài chính,-,-,694.723.438.175,694.723.438.175,,,694723438175.0,694723438175.0
Cộng,Tại ngày 31/12/2016 > Cộng,Cộng,501.691.788.250,77.348.000.000,694.723.438.175,1.273.763.226.425,501691788250.0,77348000000.0,694723438175.0,1273763226425.0
Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,9.465.199.342,-,-,9.465.199.342,9465199342.0,,,9465199342.0
Phải thu khách hàng và phải thu khác,Tại ngày 01/01/2016 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,123.836.139.158,47.348.000.000,-,171.184.139.158,123836139158.0,47348000000.0,,171184139158.0
Đầu tư tài chính,Tại ngày 01/01/2016 > Đầu tư tài chính,Đầu tư tài chính,-,-,580.703.606.208,580.703.606.208,,,580703606208.0,580703606208.0
Cộng,Tại ngày 01/01/2016 > Cộng,Cộng,133.301.338.500,47.348.000.000,580.703.606.208,761.352.944.708,133301338500.0,47348000000.0,580703606208.0,761352944708.0
