row_label_raw,row_label_full,col_0,31/12/2016 > Giá trịVND,31/12/2016 > Số có khảnăng trả nợVND,Trong năm > TăngVND,Trong năm > GiảmVND,01/01/2016 > Giá trịVND,01/01/2016 > Số có khảnăng trả nợVND,numeric__31/12/2016 > Giá trịVND,numeric__31/12/2016 > Số có khảnăng trả nợVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__01/01/2016 > Giá trịVND,numeric__01/01/2016 > Số có khảnăng trả nợVND
Tô Như Toàn (iii),Tô Như Toàn (iii),Tô Như Toàn (iii),31.923.508.000,31.923.508.000,160.000.000.000,299.833.125.000,171.756.633.000,171.756.633.000,31923508000.0,31923508000.0,160000000000.0,299833125000.0,171756633000.0,171756633000.0
Tô Như Thắng (iv),Tô Như Thắng (iv),Tô Như Thắng (iv),27.500.000.000,27.500.000.000,40.000.000.000,12.500.000.000,-,-,27500000000.0,27500000000.0,40000000000.0,12500000000.0,,
Cộng,Cộng,Cộng,59.423.508.000,59.423.508.000,200.000.000.000,312.333.125.000,171.756.633.000,171.756.633.000,59423508000.0,59423508000.0,200000000000.0,312333125000.0,171756633000.0,171756633000.0
c) Vay các bên liên quan,c) Vay các bên liên quan,c) Vay các bên liên quan,c) Vay các bên liên quan,c) Vay các bên liên quan,c) Vay các bên liên quan,c) Vay các bên liên quan,c) Vay các bên liên quan,c) Vay các bên liên quan,,,,,,
,,,31/12/2016,31/12/2016,Trong năm,Trong năm,01/01/2016,01/01/2016,,,,,,
,,,Giá trịVND,Số có khảnăng trả nợVND,TăngVND,GiảmVND,Giá trịVND,Số có khảnăng trả nợVND,,,,,,
Tô Như Toàn,c) Vay các bên liên quan > Tô Như Toàn,Tô Như Toàn,31.923.508.000,31.923.508.000,160.000.000.000,299.833.125.000,171.756.633.000,171.756.633.000,31923508000.0,31923508000.0,160000000000.0,299833125000.0,171756633000.0,171756633000.0
Tô Như Thắng,c) Vay các bên liên quan > Tô Như Thắng,Tô Như Thắng,27.500.000.000,27.500.000.000,40.000.000.000,12.500.000.000,-,-,27500000000.0,27500000000.0,40000000000.0,12500000000.0,,
Tạ Hữu Long,c) Vay các bên liên quan > Tạ Hữu Long,Tạ Hữu Long,-,-,-,72.000.000,72.000.000,72.000.000,,,,72000000.0,72000000.0,72000000.0
Cộng,c) Vay các bên liên quan > Cộng,Cộng,59.423.508.000,59.423.508.000,200.000.000.000,312.405.125.000,171.828.633.000,171.828.633.000,59423508000.0,59423508000.0,200000000000.0,312405125000.0,171828633000.0,171828633000.0
