row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2016,Giá trị ghi số > 31/12/2016_1,Giá trị ghi số > 01/01/2016,Giá trị ghi số > 01/01/2016_1,numeric__Giá trị ghi số > 31/12/2016,numeric__Giá trị ghi số > 31/12/2016_1,numeric__Giá trị ghi số > 01/01/2016,numeric__Giá trị ghi số > 01/01/2016_1
,,,Giá gốc VND,Dự phòng VND,Giá gốc VND,Dự phòng VND,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,94.923.320.849,-,9.465.199.342,-,94923320849.0,,9465199342.0,
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,484.368.935.908,(252.468.507),171.436.607.665,(252.468.507),484368935908.0,-252468507.0,171436607665.0,-252468507.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,694.723.438.175,-,580.703.606.208,-,694723438175.0,,580703606208.0,
,,,1.274.015.694.932,(252.468.507),761.605.413.215,(252.468.507),1274015694932.0,-252468507.0,761605413215.0,-252468507.0
