row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuốngVND,Trên 1 nămđến 5 nămVND,Trên 5 nămVND,CộngVND,numeric__Từ 1 nămtrở xuốngVND,numeric__Trên 1 nămđến 5 nămVND,numeric__Trên 5 nămVND,numeric__CộngVND
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,,,,
Vay và nợ,Tại ngày 31/12/2016 > Vay và nợ,Vay và nợ,512.957.103.204,59.423.508.000,-,572.380.611.204,512957103204.0,59423508000.0,,572380611204.0
Phải trả người bán và phải trả khác,Tại ngày 31/12/2016 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,232.815.863.398,387.918.636.432,-,620.734.499.830,232815863398.0,387918636432.0,,620734499830.0
Chi phí phải trả,Tại ngày 31/12/2016 > Chi phí phải trả,Chi phí phải trả,688.072.340.420,-,-,688.072.340.420,688072340420.0,,,688072340420.0
Cộng,Tại ngày 31/12/2016 > Cộng,Cộng,1.433.845.307.022,447.342.144.432,-,1.881.187.451.454,1433845307022.0,447342144432.0,,1881187451454.0
Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,,,,
Vay và nợ,Tại ngày 01/01/2016 > Vay và nợ,Vay và nợ,203.673.096.493,171.756.633.000,-,375.429.729.493,203673096493.0,171756633000.0,,375429729493.0
Phải trả người bán và phải trả khác,Tại ngày 01/01/2016 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,194.846.125.243,357.213.649.331,-,552.059.774.574,194846125243.0,357213649331.0,,552059774574.0
Chi phí phải trả,Tại ngày 01/01/2016 > Chi phí phải trả,Chi phí phải trả,763.305.431.712,-,-,763.305.431.712,763305431712.0,,,763305431712.0
Cộng,Tại ngày 01/01/2016 > Cộng,Cộng,1.161.824.653.448,528.970.282.331,-,1.690.794.935.779,1161824653448.0,528970282331.0,,1690794935779.0
