row_label_raw,row_label_full,col_0,"Phương tiện vận tải,truyền dẫnVND","Thiết bị, dụng cụquản lýVND",Tổng cộngVND,"numeric__Phương tiện vận tải,truyền dẫnVND","numeric__Thiết bị, dụng cụquản lýVND",numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư tại 01/01/2016,NGUYÊN GIÁ > Số dư tại 01/01/2016,Số dư tại 01/01/2016,9.673.978.686,752.837.567,10.426.816.253,9673978686.0,752837567.0,10426816253.0
Mua trong kỳ,NGUYÊN GIÁ > Mua trong kỳ,Mua trong kỳ,5.147.003.636,-,5.147.003.636,5147003636.0,,5147003636.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,2.778.293.148,-,2.778.293.148,2778293148.0,,2778293148.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.614.871.444),-,(3.614.871.444),-3614871444.0,,-3614871444.0
Số dư tại 31/12/2016,NGUYÊN GIÁ > Số dư tại 31/12/2016,Số dư tại 31/12/2016,13.984.404.026,752.837.567,14.737.241.593,13984404026.0,752837567.0,14737241593.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,
Số dư tại 01/01/2016,GIÁ TRỊ HAO MÒN > Số dư tại 01/01/2016,Số dư tại 01/01/2016,5.050.308.021,752.837.567,5.803.145.588,5050308021.0,752837567.0,5803145588.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN > Khấu hao trong năm,Khấu hao trong năm,1.775.453.337,-,1.775.453.337,1775453337.0,,1775453337.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.397.036.191),-,(3.397.036.191),-3397036191.0,,-3397036191.0
Số dư tại 31/12/2016,GIÁ TRỊ HAO MÒN > Số dư tại 31/12/2016,Số dư tại 31/12/2016,3.428.725.167,752.837.567,4.181.562.734,3428725167.0,752837567.0,4181562734.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Số dư tại 01/01/2016,GIÁ TRỊ CÒN LẠI > Số dư tại 01/01/2016,Số dư tại 01/01/2016,4.623.670.665,-,4.623.670.665,4623670665.0,,4623670665.0
Số dư tại 31/12/2016,GIÁ TRỊ CÒN LẠI > Số dư tại 31/12/2016,Số dư tại 31/12/2016,10.555.678.859,-,10.555.678.859,10555678859.0,,10555678859.0
