row_label_raw,row_label_full,col_0,Năm 2016VND,numeric__Năm 2016VND
Công ty TNHH MTV Đầu tư Văn Phú Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú Giảng Võ,
Góp vốn điều lệ,Công ty TNHH MTV Đầu tư Văn Phú Giảng Võ > Góp vốn điều lệ,Góp vốn điều lệ,237.684.634.792,237684634792.0
Ứng vốn phục vụ hoạt động sản xuất kinh doanh và thực hiện dự án đầu tư,Công ty TNHH MTV Đầu tư Văn Phú Giảng Võ > Ứng vốn phục vụ hoạt động sản xuất kinh doanh và thực hiện dự án đầu tư,Ứng vốn phục vụ hoạt động sản xuất kinh doanh và thực hiện dự án đầu tư,7.562.535.911,7562535911.0
Công ty CP Đầu tư Văn Phú - Land,Công ty CP Đầu tư Văn Phú - Land,Công ty CP Đầu tư Văn Phú - Land,Công ty CP Đầu tư Văn Phú - Land,
Thu thi công xây dựng,Công ty CP Đầu tư Văn Phú - Land > Thu thi công xây dựng,Thu thi công xây dựng,1.721.641.163,1721641163.0
Công ty CP Đầu tư Văn Phú - IBS,Công ty CP Đầu tư Văn Phú - IBS,Công ty CP Đầu tư Văn Phú - IBS,Công ty CP Đầu tư Văn Phú - IBS,
Nhận chuyển nhượng cổ phần,Công ty CP Đầu tư Văn Phú - IBS > Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,3.792.000.000,3792000000.0
Công ty CP Văn Phú Bắc Ái,Công ty CP Văn Phú Bắc Ái,Công ty CP Văn Phú Bắc Ái,Công ty CP Văn Phú Bắc Ái,
Chuyển tiền góp vốn,Công ty CP Văn Phú Bắc Ái > Chuyển tiền góp vốn,Chuyển tiền góp vốn,5.000.000.000,5000000000.0
Công ty CP Đầu tư BOT Hà Nội - Bắc Giang,Công ty CP Đầu tư BOT Hà Nội - Bắc Giang,Công ty CP Đầu tư BOT Hà Nội - Bắc Giang,Công ty CP Đầu tư BOT Hà Nội - Bắc Giang,
Chuyển tiền góp vốn,Công ty CP Đầu tư BOT Hà Nội - Bắc Giang > Chuyển tiền góp vốn,Chuyển tiền góp vốn,33.995.694.000,33995694000.0
Thu tiền hợp tác đầu tư,Công ty CP Đầu tư BOT Hà Nội - Bắc Giang > Thu tiền hợp tác đầu tư,Thu tiền hợp tác đầu tư,12.936.000.000,12936000000.0
Công ty CP In và Văn hóa phẩm,Công ty CP In và Văn hóa phẩm,Công ty CP In và Văn hóa phẩm,Công ty CP In và Văn hóa phẩm,
Nhận chuyển nhượng cổ phần,Công ty CP In và Văn hóa phẩm > Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,33.777.503.175,33777503175.0
Công ty CP Tài nguyên và Môi trường Trường Minh,Công ty CP Tài nguyên và Môi trường Trường Minh,Công ty CP Tài nguyên và Môi trường Trường Minh,Công ty CP Tài nguyên và Môi trường Trường Minh,
Thu phí hoạt động văn phòng,Công ty CP Tài nguyên và Môi trường Trường Minh > Thu phí hoạt động văn phòng,Thu phí hoạt động văn phòng,25.804.212,25804212.0
Giá trị tư vấn xây dựng,Công ty CP Tài nguyên và Môi trường Trường Minh > Giá trị tư vấn xây dựng,Giá trị tư vấn xây dựng,59.600.000,59600000.0
Trả tiền tư vấn xây dựng,Công ty CP Tài nguyên và Môi trường Trường Minh > Trả tiền tư vấn xây dựng,Trả tiền tư vấn xây dựng,59.600.000,59600000.0
Công ty CP Đầu tư Văn Phú - IPS,Công ty CP Đầu tư Văn Phú - IPS,Công ty CP Đầu tư Văn Phú - IPS,Công ty CP Đầu tư Văn Phú - IPS,
Chuyển tiền góp vốn,Công ty CP Đầu tư Văn Phú - IPS > Chuyển tiền góp vốn,Chuyển tiền góp vốn,1.600.000.000,1600000000.0
Thu phí hoạt động văn phòng,Công ty CP Đầu tư Văn Phú - IPS > Thu phí hoạt động văn phòng,Thu phí hoạt động văn phòng,40.893.392,40893392.0
Công ty CP Văn Phú Holdings,Công ty CP Văn Phú Holdings,Công ty CP Văn Phú Holdings,Công ty CP Văn Phú Holdings,
Ứng trước tiền thi công xây dựng,Công ty CP Văn Phú Holdings > Ứng trước tiền thi công xây dựng,Ứng trước tiền thi công xây dựng,1.960.000.000,1960000000.0
Thu tiền hợp tác đầu tư,Công ty CP Văn Phú Holdings > Thu tiền hợp tác đầu tư,Thu tiền hợp tác đầu tư,32.000.000.000,32000000000.0
Trả tiền hợp tác đầu tư,Công ty CP Văn Phú Holdings > Trả tiền hợp tác đầu tư,Trả tiền hợp tác đầu tư,6.400.000.000,6400000000.0
