row_label_raw,row_label_full,Công ty CP KD dịch vụ cao cấp đầu khí Việt Nam (PVR),31/12/2016 > Giá trị VND > 10.000.000.000,31/12/2016 > Dự phòng VND > -,01/01/2016 > Giá trị VND > 10.000.000.000,01/01/2016 > Dự phòng VND > -,numeric__31/12/2016 > Giá trị VND > 10.000.000.000,numeric__31/12/2016 > Dự phòng VND > -,numeric__01/01/2016 > Giá trị VND > 10.000.000.000,numeric__01/01/2016 > Dự phòng VND > -
Ban Quản lý giao thông 1,Ban Quản lý giao thông 1,Ban Quản lý giao thông 1,12.577.195.000,-,12.577.195.000,-,12577195000.0,,12577195000.0,
Hoàng Thị Liên (i),Hoàng Thị Liên (i),Hoàng Thị Liên (i),45.625.000.000,-,-,-,45625000000.0,,,
Tạ Hữu Long (ii),Tạ Hữu Long (ii),Tạ Hữu Long (ii),43.800.000.000,-,-,-,43800000000.0,,,
Công ty CP TM Đầu tư BĐS An Phát (iii),Công ty CP TM Đầu tư BĐS An Phát (iii),Công ty CP TM Đầu tư BĐS An Phát (iii),66.000.000.000,-,-,-,66000000000.0,,,
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,168.172.512.918,(252.468.507),60.025.794.665,(252.468.507),168172512918.0,-252468507.0,60025794665.0,-252468507.0
Cộng,Cộng,Cộng,346.174.707.918,(252.468.507),82.602.989.665,(252.468.507),346174707918.0,-252468507.0,82602989665.0,-252468507.0
