row_label_raw,row_label_full,col_0,31/12/2016 > Giá trịVND,31/12/2016 > Số có khảnăng trả nợVND,01/01/2016 > Giá trịVND,01/01/2016 > Số có khảnăng trả nợVND,numeric__31/12/2016 > Giá trịVND,numeric__31/12/2016 > Số có khảnăng trả nợVND,numeric__01/01/2016 > Giá trịVND,numeric__01/01/2016 > Số có khảnăng trả nợVND
Công ty CP Đầu tư Văn Phú-Land,Công ty CP Đầu tư Văn Phú-Land,Công ty CP Đầu tư Văn Phú-Land,49.300.000.000,49.300.000.000,49.300.000.000,49.300.000.000,49300000000.0,49300000000.0,49300000000.0,49300000000.0
Công ty CP ĐT BOT Hà Nội - Bắc Giang,Công ty CP ĐT BOT Hà Nội - Bắc Giang,Công ty CP ĐT BOT Hà Nội - Bắc Giang,12.936.000.000,12.936.000.000,-,-,12936000000.0,12936000000.0,,
Công ty CP Văn Phú Holdings,Công ty CP Văn Phú Holdings,Công ty CP Văn Phú Holdings,25.600.000.000,25.600.000.000,-,-,25600000000.0,25600000000.0,,
Cộng,Cộng,Cộng,87.836.000.000,87.836.000.000,49.300.000.000,49.300.000.000,87836000000.0,87836000000.0,49300000000.0,49300000000.0
