row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Vốn khác của Chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Vốn khác của Chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.524.847.830.000,66.111.261.707,-,178.261.388.573,-,362.986.662.889,87.152.702.255,3.219.359.845.424,2524847830000.0,66111261707.0,,178261388573.0,,362986662889.0,87152702255.0,3219359845424.0
Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,,,,,,,,
cổ phiếu mới,Phát hành > cổ phiếu mới,cổ phiếu mới,474.636.610.000,142.046.728.000,-,-,-,-,-,616.683.338.000,474636610000.0,142046728000.0,,,,,,616683338000.0
Cổ tức bằng cổ phiếu,Phát hành > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,149.951.570.000,-,-,-,-,(149.951.570.000),-,-,149951570000.0,,,,,-149951570000.0,,
Cổ tức bằng tiền,Phát hành > Cổ tức bằng tiền,Cổ tức bằng tiền,-,-,-,-,-,(176.739.348.100),(2.174.692.500),(178.914.040.600),,,,,,-176739348100.0,-2174692500.0,-178914040600.0
Lợi nhuận thuần trong năm,Phát hành > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,390.989.644.585,(19.167.012.971),371.822.631.614,,,,,,390989644585.0,-19167012971.0,371822631614.0
"Trích lập quỹ khen thưởng, phúc lợi","Phát hành > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,(17.911.694.800),(793.566.357),(18.705.261.157),,,,,,-17911694800.0,-793566357.0,-18705261157.0
Trích lập quỹ đầu tư phát triển,Phát hành > Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,17.485.700.828,-,(17.880.809.886),395.109.058,-,,,,17485700828.0,,-17880809886.0,395109058.0,
Khác,Phát hành > Khác,Khác,-,-,-,(130.006.263),775.100.000,(775.100.000),(670.311.493),(800.317.756),,,,-130006263.0,775100000.0,-775100000.0,-670311493.0,-800317756.0
Số cuối năm,Phát hành > Số cuối năm,Số cuối năm,3.149.436.010.000,208.157.989.707,-,195.617.083.138,775.100.000,390.717.784.688,64.742.227.992,4.009.446.195.525,3149436010000.0,208157989707.0,,195617083138.0,775100000.0,390717784688.0,64742227992.0,4009446195525.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.149.436.010.000,208.157.989.707,-,195.617.083.138,775.100.000,390.717.784.688,64.742.227.992,4.009.446.195.525,3149436010000.0,208157989707.0,,195617083138.0,775100000.0,390717784688.0,64742227992.0,4009446195525.0
Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,Phát hành,,,,,,,,
cổ phiếu mới,Phát hành > cổ phiếu mới,cổ phiếu mới,35.489.500.000,(226.500.000),-,-,-,-,(35.489.500.000),(226.500.000),35489500000.0,-226500000.0,,,,,-35489500000.0,-226500000.0
Mua lại cổ phiếu quỹ,Phát hành > Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(90.270.193.851),-,-,-,-,(90.270.193.851),,,-90270193851.0,,,,,-90270193851.0
Bán cổ phiếu quỹ,Phát hành > Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,88.604.048.714,90.270.193.851,-,-,-,-,178.874.242.565,,88604048714.0,90270193851.0,,,,,178874242565.0
Cổ tức,Phát hành > Cổ tức,Cổ tức,-,-,-,-,-,-,(3.044.510.000),(3.044.510.000),,,,,,,-3044510000.0,-3044510000.0
Lợi nhuận thuần trong năm,Phát hành > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,711.237.905.763,10.658.224.669,721.896.130.432,,,,,,711237905763.0,10658224669.0,721896130432.0
Tăng do sáp nhập công ty con,Phát hành > Tăng do sáp nhập công ty con,Tăng do sáp nhập công ty con,-,173.000.000,-,(3.552.448.187),-,(19.216.370.327),22.595.818.514,-,,173000000.0,,-3552448187.0,,-19216370327.0,22595818514.0,
Mua lại cổ phần của cổ đông không kiểm soát,Phát hành > Mua lại cổ phần của cổ đông không kiểm soát,Mua lại cổ phần của cổ đông không kiểm soát,-,-,-,-,-,-,(1.489.266.000),(1.489.266.000),,,,,,,-1489266000.0,-1489266000.0
"Trích lập quỹ khen thưởng, phúc lợi","Phát hành > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,(24.489.665.111),(667.203.189),(25.156.868.300),,,,,,-24489665111.0,-667203189.0,-25156868300.0
Trích lập quỹ đầu tư phát triển,Phát hành > Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,23.968.618.383,-,(24.148.455.821),179.837.438,-,,,,23968618383.0,,-24148455821.0,179837438.0,
Khác,Phát hành > Khác,Khác,-,-,-,(989.298.679),775.100.000,214.198.679,100.000.000,100.000.000,,,,-989298679.0,775100000.0,214198679.0,100000000.0,100000000.0
Số cuối năm,Phát hành > Số cuối năm,Số cuối năm,3.184.925.510.000,296.708.538.421,-,215.043.954.655,1.550.200.000,1.034.315.397.871,57.585.629.424,4.790.129.230.371,3184925510000.0,296708538421.0,,215043954655.0,1550200000.0,1034315397871.0,57585629424.0,4790129230371.0
