row_label_raw,row_label_full,Ngân hàng > Ngân hàng Thương mạiCổ phần Á Châu- Chi nhánh Hồ Chí Minh > Ngân hàng Thương mạiCổ phần An Bình –Chi nhánh Bà Rịa - Vũng Tàu,Số cuối nămVND > 16.649.608.967 > 1.846.475.000,Kỳ hạn trả gốc và lãi > Ngày 25 tháng 1 năm 2021 > Từ ngày 25 tháng 1 năm 2021 đến ngày11 tháng 3 năm 2025,"Lãi suất(%/năm) > 9,5% > 10,6%","Hình thức đảm bảo > Khoản phải thu và quyền phát sinh của Tổng Công ty có được theo các hợp đồng bán/cho thuê dài hạn của Dự án Khu cản hộ thuộc khởi B - Tổ hợp khách sạn 5 sao Pullman và Trung tâm Hội nghị Triển lâm Quốc tế Thành phố Vũng Tàu, và 18.920.000 cổ phần phổ thông của Công ty Cổ phần Đầu tư và Phát triển Phương Nam > Xe ô tô Toyota Fortuner 7 chỗ trị giá 1.150.000.000 VND theo hợp đồng thể chấp tài sản số 296/18/TC/IV.04 ngày 29 tháng 12 năm 2018;Vận thắng chờ hàng có người đi kèm theo hợp đồng thể chấp tài sản số 2191/19/TC/IV.04 ngày 29 tháng 7 năm 2019;Xe ô tô Ford Transit SVP 16 chỗ ngồi, máy đầu theo hợp đồng thể chấp tài sản số 35/20/TC/IV.04 ngày 10 tháng 3 năm 2020",numeric__Số cuối nămVND > 16.649.608.967 > 1.846.475.000,numeric__Kỳ hạn trả gốc và lãi > Ngày 25 tháng 1 năm 2021 > Từ ngày 25 tháng 1 năm 2021 đến ngày11 tháng 3 năm 2025,"numeric__Lãi suất(%/năm) > 9,5% > 10,6%","numeric__Hình thức đảm bảo > Khoản phải thu và quyền phát sinh của Tổng Công ty có được theo các hợp đồng bán/cho thuê dài hạn của Dự án Khu cản hộ thuộc khởi B - Tổ hợp khách sạn 5 sao Pullman và Trung tâm Hội nghị Triển lâm Quốc tế Thành phố Vũng Tàu, và 18.920.000 cổ phần phổ thông của Công ty Cổ phần Đầu tư và Phát triển Phương Nam > Xe ô tô Toyota Fortuner 7 chỗ trị giá 1.150.000.000 VND theo hợp đồng thể chấp tài sản số 296/18/TC/IV.04 ngày 29 tháng 12 năm 2018;Vận thắng chờ hàng có người đi kèm theo hợp đồng thể chấp tài sản số 2191/19/TC/IV.04 ngày 29 tháng 7 năm 2019;Xe ô tô Ford Transit SVP 16 chỗ ngồi, máy đầu theo hợp đồng thể chấp tài sản số 35/20/TC/IV.04 ngày 10 tháng 3 năm 2020"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.156.141.931.470,,,,1156141931470.0,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,343.588.884.959812.553.046.511,,,,3.435888849598125e+23,,,
