row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Năm nay,numeric__Năm trước
DIC Resco,DIC Resco,DIC Resco,Công tyliên kết,Chi phí môi giới,38.726.707.613,102.427.940.573,,,38726707613.0,102427940573.0
DIC Resco,DIC Resco,DIC Resco,Công tyliên kết,Chi phí thi công,4.189.536.890,3.373.387.268,,,4189536890.0,3373387268.0
DIC Resco,DIC Resco,DIC Resco,Công tyliên kết,Chuyển nhượngquyền sử dụng đất,-,85.825.634.960,,,,85825634960.0
DIC Resco,DIC Resco,DIC Resco,Công tyliên kết,Bán căn hộ,-,20.549.525.369,,,,20549525369.0
DIC Phương Nam,DIC Phương Nam,DIC Phương Nam,Công tyliên kết,Chi hộ,26.964.235.792,-,,,26964235792.0,
DIC Phương Nam,DIC Phương Nam,DIC Phương Nam,Công tyliên kết,Cho vay,12.700.000.000,-,,,12700000000.0,
DIC Phương Nam,DIC Phương Nam,DIC Phương Nam,Công tyliên kết,Thu lãi cho vay,6.485.319.391,2.673.210.285,,,6485319391.0,2673210285.0
DIC Số 4,DIC Số 4,DIC Số 4,Công tyliên kết,Chi phí xây dựng,144.913.035.371,183.425.628.502,,,144913035371.0,183425628502.0
DIC Số 4,DIC Số 4,DIC Số 4,Công tyliên kết,Chuyển nhượngquyền sử dụng đất,-,26.988.339.945,,,,26988339945.0
DIC Số 4,DIC Số 4,DIC Số 4,Công tyliên kết,Chuyển nhượngcổ phần,-,9.144.142.000,,,,9144142000.0
