row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Phân loại lại,Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Phân loại lại,numeric__Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,547.806.830.701,791.399.542.623,(993.136.995.429),343.588.884.959,689.658.262.854,547806830701.0,791399542623.0,-993136995429.0,343588884959.0,689658262854.0
Vay ngân hàng (TM số 24.1),Vay ngân hàng (TM số 24.1),Vay ngân hàng (TM số 24.1),178.674.329.451,784.180.042.623,(624.745.794.179),-,338.108.577.895,178674329451.0,784180042623.0,-624745794179.0,,338108577895.0
Vay ngân hàng dài hạn đến hạn trả (TM số 24.2),Vay ngân hàng dài hạn đến hạn trả (TM số 24.2),Vay ngân hàng dài hạn đến hạn trả (TM số 24.2),355.743.547.250,-,(355.743.547.250),343.588.884.959,343.588.884.959,355743547250.0,,-355743547250.0,343588884959.0,343588884959.0
Vay từ các cá nhân,Vay từ các cá nhân,Vay từ các cá nhân,13.388.954.000,7.219.500.000,(12.647.654.000),-,7.960.800.000,13388954000.0,7219500000.0,-12647654000.0,,7960800000.0
Dài hạn,Dài hạn,Dài hạn,729.658.592.300,450.645.054.170,(1.949.315.000),(343.588.884.959),834.765.446.511,729658592300.0,450645054170.0,-1949315000.0,-343588884959.0,834765446511.0
Vay ngân hàng (TM số 24.2),Vay ngân hàng (TM số 24.2),Vay ngân hàng (TM số 24.2),729.658.592.300,426.745.054.170,(261.715.000),(343.588.884.959),812.553.046.511,729658592300.0,426745054170.0,-261715000.0,-343588884959.0,812553046511.0
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,-,9.850.000.000,(100.000.000),-,9.750.000.000,,9850000000.0,-100000000.0,,9750000000.0
Vay từ bên khác,Vay từ bên khác,Vay từ bên khác,-,14.050.000.000,(1.587.600.000),-,12.462.400.000,,14050000000.0,-1587600000.0,,12462400000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.277.465.423.001,1.242.044.596.793,(995.086.310.429),-,1.524.423.709.365,1277465423001.0,1242044596793.0,-995086310429.0,,1524423709365.0
