row_label_raw,row_label_full,Dự án Khu đô thị mới Nam Vĩnh Yên (i),Số cuối năm > 2.110.409.389.056,VND Số đầu năm > 1.060.820.486.969,numeric__Số cuối năm > 2.110.409.389.056,numeric__VND Số đầu năm > 1.060.820.486.969
Dự án Khu du lịch Đô thị Sinh thái Đại Phước (i),Dự án Khu du lịch Đô thị Sinh thái Đại Phước (i),Dự án Khu du lịch Đô thị Sinh thái Đại Phước (i),531.934.780.859,769.371.454.628,531934780859.0,769371454628.0
Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,347.668.344.580,143.637.197.732,347668344580.0,143637197732.0
Dự án Khu dân cư Hiệp Phước. Nhơn Trạch,Dự án Khu dân cư Hiệp Phước. Nhơn Trạch,Dự án Khu dân cư Hiệp Phước. Nhơn Trạch,319.933.290.238,193.107.610.395,319933290238.0,193107610395.0
"Dự án Khu dân cư Phường 4, Hậu Giang (i)","Dự án Khu dân cư Phường 4, Hậu Giang (i)","Dự án Khu dân cư Phường 4, Hậu Giang (i)",309.065.709.445,187.207.863.452,309065709445.0,187207863452.0
Dự án Khu du lịch Long Tân. Nhơn Trạch,Dự án Khu du lịch Long Tân. Nhơn Trạch,Dự án Khu du lịch Long Tân. Nhơn Trạch,52.451.215.273,40.804.763.274,52451215273.0,40804763274.0
Dự án Cơ sở Hạ tầng Khu trung tâm Chí Linh (i),Dự án Cơ sở Hạ tầng Khu trung tâm Chí Linh (i),Dự án Cơ sở Hạ tầng Khu trung tâm Chí Linh (i),50.608.246.766,105.643.513.122,50608246766.0,105643513122.0
Dự án Chung cư Vũng Tàu Gateway,Dự án Chung cư Vũng Tàu Gateway,Dự án Chung cư Vũng Tàu Gateway,22.399.754.304,682.660.723.791,22399754304.0,682660723791.0
Dự án Khu đô thị Đường 51B. Vũng Tàu,Dự án Khu đô thị Đường 51B. Vũng Tàu,Dự án Khu đô thị Đường 51B. Vũng Tàu,7.677.086.040,6.620.745.383,7677086040.0,6620745383.0
Dự án Khách sạn DIC Star - Vĩnh Yên (i),Dự án Khách sạn DIC Star - Vĩnh Yên (i),Dự án Khách sạn DIC Star - Vĩnh Yên (i),-,425.031.607.209,,425031607209.0
Các dự án khác,Các dự án khác,Các dự án khác,145.057.642.923,34.736.007.095,145057642923.0,34736007095.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.897.205.459.484,3.649.641.973.050,3897205459484.0,3649641973050.0
