row_label_raw,row_label_full,col_0,Loại hình kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Loại hình kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
,,,Loại hình kinh doanh,Giá gốc,Dự phòng,%,Giá gốc,Dự phòng,%,,,,,,,
Công ty Cổ phần Phát triển Đồ thị Phú Quốc,Công ty Cổ phần Phát triển Đồ thị Phú Quốc,Công ty Cổ phần Phát triển Đồ thị Phú Quốc,Bất động sản,50.000.000.000,-,"6,67%",50.000.000.000,-,"6,67%",,50000000000.0,,0.0667,50000000000.0,,0.0667
Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Đầu tư và thương mại,41.104.911.284,(19.080.005.672),"14,75%",41.104.911.284,-,"14,75%",,41104911284.0,-19080005672.0,0.1475,41104911284.0,,0.1475
Công ty Cổ phần Cao su Phú Riềng - Kratie,Công ty Cổ phần Cao su Phú Riềng - Kratie,Công ty Cổ phần Cao su Phú Riềng - Kratie,Sản xuất cao su,20.000.000.000,(20.000.000.000),"5,00%",20.000.000.000,(20.000.000.000),"5,00%",,20000000000.0,-20000000000.0,0.05,20000000000.0,-20000000000.0,0.05
Công ty Cổ phần Sông Đà Hà Nội,Công ty Cổ phần Sông Đà Hà Nội,Công ty Cổ phần Sông Đà Hà Nội,Bất động sản,6.000.000.000,-,"15,00%",6.000.000.000,-,"15,00%",,6000000000.0,,0.15,6000000000.0,,0.15
Công ty Cổ phần Vina Đại Phước,Công ty Cổ phần Vina Đại Phước,Công ty Cổ phần Vina Đại Phước,Bất động sản,1.610.000.000,(227.305.434),"0,10%",1.610.000.000,(227.305.434),"0,10%",,1610000000.0,-227305434.0,0.001,1610000000.0,-227305434.0,0.001
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Bất động sản,173.958.093,-,"0,50%",173.958.093,-,"0,50%",,173958093.0,,0.005,173958093.0,,0.005
Khoản đầu tư dài hạn khác,Khoản đầu tư dài hạn khác,Khoản đầu tư dài hạn khác,,194.500.000,(116.348.408),"0,01%",194.500.000,(116.348.408),"0,01%",,194500000.0,-116348408.0,0.0001,194500000.0,-116348408.0,0.0001
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,119.083.369.377,(39.423.659.514),,119.083.369.377,(20.343.653.842),,,119083369377.0,-39423659514.0,,119083369377.0,-20343653842.0,
17.3 Đầu tư nằm giữ đến ngày đáo hạn,17.3 Đầu tư nằm giữ đến ngày đáo hạn,17.3 Đầu tư nằm giữ đến ngày đáo hạn,17.3 Đầu tư nằm giữ đến ngày đáo hạn,17.3 Đầu tư nằm giữ đến ngày đáo hạn,17.3 Đầu tư nằm giữ đến ngày đáo hạn,17.3 Đầu tư nằm giữ đến ngày đáo hạn,17.3 Đầu tư nằm giữ đến ngày đáo hạn,17.3 Đầu tư nằm giữ đến ngày đáo hạn,17.3 Đầu tư nằm giữ đến ngày đáo hạn,,,,,,,
,,,,,,,Số cuối năm,VND,VND,,,,,,,
,,,,,,,,Số đầu năm,Số đầu năm,,,,,,,
Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,17.3 Đầu tư nằm giữ đến ngày đáo hạn > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,20.000.000.000,-,-,,,,,20000000000.0,,
