row_label_raw,row_label_full,col_0,Bất động sản,Thương mại và dịch vụ,Cung cấp dịch vụ xây dựng,Loại trừ,Tổng cộng,numeric__Bất động sản,numeric__Thương mại và dịch vụ,numeric__Cung cấp dịch vụ xây dựng,numeric__Loại trừ,numeric__Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,,,,,
Doanh thu thuàntừ khách hàngbên ngoài,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Doanh thu thuàntừ khách hàngbên ngoài,Doanh thu thuàntừ khách hàngbên ngoài,1.465.752.595.322,653.346.640.172,411.737.907.414,(415.092.769.277),2.115.744.373.631,1465752595322.0,653346640172.0,411737907414.0,-415092769277.0,2115744373631.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả kinh doanhbộ phận,Kết quả hoạt động kinh doanh > Kết quả kinh doanhbộ phận,Kết quả kinh doanhbộ phận,528.214.531.772,135.262.020.459,(8.004.842.001),(14.806.692.232),640.665.017.998,528214531772.0,135262020459.0,-8004842001.0,-14806692232.0,640665017998.0
Chi phí khôngphân bổ,Kết quả hoạt động kinh doanh > Chi phí khôngphân bổ,Chi phí khôngphân bổ,,,,,(264.553.646.934),,,,,-264553646934.0
Lỗ từ công ty liên kết,Kết quả hoạt động kinh doanh > Lỗ từ công ty liên kết,Lỗ từ công ty liên kết,,,,,(13.888.785.170),,,,,-13888785170.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh > Doanh thu tài chính,Doanh thu tài chính,,,,,197.545.575.808,,,,,197545575808.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,(26.619.168.032),,,,,-26619168032.0
Lỗ khác,Kết quả hoạt động kinh doanh > Lỗ khác,Lỗ khác,,,,,(61.867.793.125),,,,,-61867793125.0
Lợi nhuận trướcthuế,Kết quả hoạt động kinh doanh > Lợi nhuận trướcthuế,Lợi nhuận trướcthuế,,,,,471.281.200.545,,,,,471281200545.0
Chi phí thuế TNDNThu nhập thuế,Kết quả hoạt động kinh doanh > Chi phí thuế TNDNThu nhập thuế,Chi phí thuế TNDNThu nhập thuế,,,,,(128.380.729.770),,,,,-128380729770.0
TNDN hoãn lại,Kết quả hoạt động kinh doanh > TNDN hoãn lại,TNDN hoãn lại,,,,,28.922.160.839,,,,,28922160839.0
Lợi nhuận sau thuế,Kết quả hoạt động kinh doanh > Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,371.822.631.614,,,,,371822631614.0
Lợi ích của cổ đôngkhông kiểm soát,Kết quả hoạt động kinh doanh > Lợi ích của cổ đôngkhông kiểm soát,Lợi ích của cổ đôngkhông kiểm soát,,,,,19.167.012.971,,,,,19167012971.0
Lợi nhuận sau thuếcông ty mẹ,Kết quả hoạt động kinh doanh > Lợi nhuận sau thuếcông ty mẹ,Lợi nhuận sau thuếcông ty mẹ,,,,,390.989.644.585,,,,,390989644585.0
Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,6.381.173.393.381,145.209.742.948,676.067.670.004,(204.287.939.258),6.998.162.867.075,6381173393381.0,145209742948.0,676067670004.0,-204287939258.0,6998162867075.0
Tài sản khôngphân bổ,Tài sản và công nợ > Tài sản khôngphân bổ,Tài sản khôngphân bổ,,,,,1.199.065.640.683,,,,,1199065640683.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,8.197.228.507.758,,,,,8197228507758.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,3.567.984.988.059,12.638.285.039,514.325.265.766,(194.743.982.841),3.900.204.556.023,3567984988059.0,12638285039.0,514325265766.0,-194743982841.0,3900204556023.0
Công nợ khôngphân bổ,Tài sản và công nợ > Công nợ khôngphân bổ,Công nợ khôngphân bổ,,,,,287.577.756.210,,,,,287577756210.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,4.187.782.312.233,,,,,4187782312233.0
