row_label_raw,row_label_full,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Số cuối năm > 67.560.000.000,VND Số đầu năm > 67.650.768.652,numeric__Số cuối năm > 67.560.000.000,numeric__VND Số đầu năm > 67.650.768.652
Công ty Cổ phần Đầu tư Phát triển Xây dựng Phước An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Phước An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Phước An,9.091.231.700,9.091.231.700,9091231700.0,9091231700.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,76.651.231.700,76.742.000.352,76651231700.0,76742000352.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Các bên khác,Trong đó: > Các bên khác,Các bên khác,9.091.231.700,9.091.231.700,9091231700.0,9091231700.0
Các bên liên quan (TM số 33),Trong đó: > Các bên liên quan (TM số 33),Các bên liên quan (TM số 33),67.560.000.000,67.650.768.652,67560000000.0,67650768652.0
