row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy móc vàthiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Tài sảncố định khác,VNDTổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy móc vàthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,203.115.035.799,315.751.291.601,75.925.792.618,10.701.526.093,5.234.482.813,610.728.128.924,203115035799.0,315751291601.0,75925792618.0,10701526093.0,5234482813.0,610728128924.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,387.122.400,7.539.544.809,4.167.691.637,287.110.909,125.600.000,12.507.069.755,387122400.0,7539544809.0,4167691637.0,287110909.0,125600000.0,12507069755.0
Chuyển từ xây dựng cơ bảnđở dang,Nguyên giá: > Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,422.368.114.903,15.059.779.285,535.076.364,39.200.000,17.439.757.725,455.441.928.277,422368114903.0,15059779285.0,535076364.0,39200000.0,17439757725.0,455441928277.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(274.061.058),(12.710.286.688),(4.586.993.992),(317.836.182),(429.054.546),(18.318.232.466),-274061058.0,-12710286688.0,-4586993992.0,-317836182.0,-429054546.0,-18318232466.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,625.596.212.044,325.640.329.007,76.041.566.627,10.710.000.820,22.370.785.992,1.060.358.894.490,625596212044.0,325640329007.0,76041566627.0,10710000820.0,22370785992.0,1060358894490.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,6.746.873.493,22.482.616.750,28.239.367.636,6.668.769.679,1.840.315.420,65.977.942.978,6746873493.0,22482616750.0,28239367636.0,6668769679.0,1840315420.0,65977942978.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(75.959.598.935),(166.636.504.776),(41.882.817.323),(7.884.187.932),(4.143.737.796),(296.506.846.762),-75959598935.0,-166636504776.0,-41882817323.0,-7884187932.0,-4143737796.0,-296506846762.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(11.133.383.668),(17.375.702.501),(4.970.807.609),(923.653.094),(1.533.306.006),(35.936.852.878),-11133383668.0,-17375702501.0,-4970807609.0,-923653094.0,-1533306006.0,-35936852878.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,44.891.335,12.710.286.688,4.412.746.642,312.594.280,390.154.857,17.870.673.802,44891335.0,12710286688.0,4412746642.0,312594280.0,390154857.0,17870673802.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(87.048.091.268),(171.301.920.589),(42.440.878.290),(8.495.246.746),(5.286.888.945),(314.573.025.838),-87048091268.0,-171301920589.0,-42440878290.0,-8495246746.0,-5286888945.0,-314573025838.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,127.155.436.864,149.114.786.825,34.042.975.295,2.817.338.161,1.090.745.017,314.221.282.162,127155436864.0,149114786825.0,34042975295.0,2817338161.0,1090745017.0,314221282162.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,538.548.120.776,154.338.408.418,33.600.688.337,2.214.754.074,17.083.897.047,745.785.868.652,538548120776.0,154338408418.0,33600688337.0,2214754074.0,17083897047.0,745785868652.0
