row_label_raw,row_label_full,col_0,Lĩnh vực kinh doanh,Lĩnh vực kinh doanh_1,Lĩnh vực kinh doanh_2,Số cuối năm > Giá trị,Số cuối năm > %,Số đầu năm > Giá trị,Số đầu năm > %,numeric__Lĩnh vực kinh doanh,numeric__Lĩnh vực kinh doanh_1,numeric__Lĩnh vực kinh doanh_2,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > %,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > %
"Công ty Cổ phần DIC Số 4 (""DIC Số 4"")","Công ty Cổ phần DIC Số 4 (""DIC Số 4"")","Công ty Cổ phần DIC Số 4 (""DIC Số 4"")",Xây lắp,Xây lắp,Xây lắp,128.979.496.061,"40,01%",132.700.596.296,"39,29%",,,,128979496061.0,0.40009999999999996,132700596296.0,0.39289999999999997
"Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê Tông (""DIC Bê tông"")","Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê Tông (""DIC Bê tông"")","Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê Tông (""DIC Bê tông"")",Sản xuất bê tông,Sản xuất bê tông,Sản xuất bê tông,34.289.394.049,"36,00%",28.112.463.643,"36,00%",,,,34289394049.0,0.36,28112463643.0,0.36
"Công ty Cổ phần Bất động sản DIC (""DIC Resco"")","Công ty Cổ phần Bất động sản DIC (""DIC Resco"")","Công ty Cổ phần Bất động sản DIC (""DIC Resco"")",Bất động sản,Bất động sản,Bất động sản,17.125.455.829,"42,68%",6.470.210.897,"21,34%",,,,17125455829.0,0.4268,6470210897.0,0.2134
"Công ty Cổ phần DIC Toàn Cầu (""DIC Toàn Cầu"")","Công ty Cổ phần DIC Toàn Cầu (""DIC Toàn Cầu"")","Công ty Cổ phần DIC Toàn Cầu (""DIC Toàn Cầu"")","Tư vấn, môi giới bất động sản","Tư vấn, môi giới bất động sản","Tư vấn, môi giới bất động sản",1.241.903.691,"49,00%",1.721.796.796,"37,69%",,,,1241903691.0,0.49,1721796796.0,0.37689999999999996
"Công ty Cổ phần Đầu tư Phát triển Phương Nam (""DIC Phương Nam"")","Công ty Cổ phần Đầu tư Phát triển Phương Nam (""DIC Phương Nam"")","Công ty Cổ phần Đầu tư Phát triển Phương Nam (""DIC Phương Nam"")","Du lịch, khách sạn","Du lịch, khách sạn","Du lịch, khách sạn",-,-,23.962.673.120,"46,00%",,,,,,23962673120.0,0.46
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,181.636.249.630,,192.967.740.752,,,,,181636249630.0,,192967740752.0,
Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết khoản đầu tư vào các công ty liên kết tại ngày 31 tháng 12 năm 2020 như sau:,,,,,,,
,,,DIC Phương Nam,DIC Số 4,DIC Bê tông,DIC Resco,DIC Toàn Cầu,Tổng cộng,Tổng cộng,,,,,,,
Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,,,,,,,
Vào ngày 31 tháng 12 năm 2019,Giá gốc đầu tư: > Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,225.400.000.000,109.602.184.500,17.982.564.000,4.815.000.000,2.450.000.000,360.249.748.500,360.249.748.500,225400000000.0,109602184500.0,17982564000.0,4815000000.0,2450000000.0,360249748500.0,360249748500.0
Tăng trong năm,Giá gốc đầu tư: > Tăng trong năm,Tăng trong năm,-,-,8.000.000.000,15.123.000.000,-,23.123.000.000,23.123.000.000,,,8000000000.0,15123000000.0,,23123000000.0,23123000000.0
Vào ngày 31 tháng 12 năm 2020,Giá gốc đầu tư: > Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,225.400.000.000,109.602.184.500,25.982.564.000,19.938.000.000,2.450.000.000,383.372.748.500,383.372.748.500,225400000000.0,109602184500.0,25982564000.0,19938000000.0,2450000000.0,383372748500.0,383372748500.0
Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,,,,,,,
Vào ngày 31 tháng 12 năm 2020,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,(201.437.326.880),23.098.411.796,10.129.899.643,1.655.210.897,(728.203.204),(167.282.007.748),(167.282.007.748),-201437326880.0,23098411796.0,10129899643.0,1655210897.0,-728203204.0,-167282007748.0,-167282007748.0
Lợi nhuận (lỗ) được chia,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Lợi nhuận (lỗ) được chia,Lợi nhuận (lỗ) được chia,(23.962.673.120),(1.282.254.635),696.918.406,(3.986.255.068),(479.893.105),(29.014.157.522),(29.014.157.522),-23962673120.0,-1282254635.0,696918406.0,-3986255068.0,-479893105.0,-29014157522.0,-29014157522.0
Cổ tức,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Cổ tức,Cổ tức,-,(2.438.845.600),(2.519.988.000),(481.500.000),-,(5.440.333.600),(5.440.333.600),,-2438845600.0,-2519988000.0,-481500000.0,,-5440333600.0,-5440333600.0
Vào ngày 31 tháng 12 năm 2020,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,(225.400.000.000),19.377.311.561,8.306.830.049,(2.812.544.171),(1.208.096.309),(201.736.498.870),(201.736.498.870),-225400000000.0,19377311561.0,8306830049.0,-2812544171.0,-1208096309.0,-201736498870.0,-201736498870.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,
Vào ngày 31 tháng 12 năm 2019,Giá trị còn lại: > Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,23.962.673.120,132.700.596.296,28.112.463.643,6.470.210.897,1.721.796.796,192.967.740.752,192.967.740.752,23962673120.0,132700596296.0,28112463643.0,6470210897.0,1721796796.0,192967740752.0,192967740752.0
Vào ngày 31 tháng 12 năm 2020,Giá trị còn lại: > Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,-,128.979.496.061,34.289.394.049,17.125.455.829,1.241.903.691,181.636.249.630,181.636.249.630,,128979496061.0,34289394049.0,17125455829.0,1241903691.0,181636249630.0,181636249630.0
