row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tàiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tàiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2018,Nguyên giá > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,41.875.974.538,5.435.726.639,50.738.607.836,26.251.961.265,99.000.000,124.401.270.278,41875974538.0,5435726639.0,50738607836.0,26251961265.0,99000000.0,124401270278.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,694.149.170,-,2.109.757.135,-,2.803.906.305,,694149170.0,,2109757135.0,,2803906305.0
Chuyển từ xây dựng cơ bản đốdang (Thuyết minh 15),Nguyên giá > Chuyển từ xây dựng cơ bản đốdang (Thuyết minh 15),Chuyển từ xây dựng cơ bản đốdang (Thuyết minh 15),415.806.227.569,-,-,-,-,415.806.227.569,415806227569.0,,,,,415806227569.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(257.740.000),(445.842.500),(39.092.179),-,(742.674.679),,-257740000.0,-445842500.0,-39092179.0,,-742674679.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(76.150.667),-,-,-,-,(76.150.667),-76150667.0,,,,,-76150667.0
Tại ngày 31 tháng 12 năm 2018,Nguyên giá > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,457.606.051.440,5.872.135.809,50.292.765.336,28.322.626.221,99.000.000,542.192.578.806,457606051440.0,5872135809.0,50292765336.0,28322626221.0,99000000.0,542192578806.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,(7.245.730.427),(3.237.379.486),(16.338.501.637),(7.609.861.822),(99.000.000),(34.530.473.372),-7245730427.0,-3237379486.0,-16338501637.0,-7609861822.0,-99000000.0,-34530473372.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(8.387.645.862),(917.244.269),(8.009.412.927),(5.452.051.164),-,(22.766.354.222),-8387645862.0,-917244269.0,-8009412927.0,-5452051164.0,,-22766354222.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,113.528.324,445.842.500,39.092.179,-,598.463.003,,113528324.0,445842500.0,39092179.0,,598463003.0
Tại ngày 31 tháng 12 năm 2018,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,(15.633.376.289),(4.041.095.431),(23.902.072.064),(13.022.820.807),(99.000.000),(56.698.364.591),-15633376289.0,-4041095431.0,-23902072064.0,-13022820807.0,-99000000.0,-56698364591.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2018,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,34.630.244.111,2.198.347.153,34.400.106.199,18.642.099.443,-,89.870.796.906,34630244111.0,2198347153.0,34400106199.0,18642099443.0,,89870796906.0
Tại ngày 31 tháng 12 năm 2018,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,441.972.675.151,1.831.040.378,26.390.693.272,15.299.805.414,-,485.494.214.215,441972675151.0,1831040378.0,26390693272.0,15299805414.0,,485494214215.0
