row_label_raw,row_label_full,col_0,col_1,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__col_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,,31.12.2018VND,31.12.2017VND,,,
viii),viii),viii),Đi vay,Đi vay,Đi vay,,,
,,,Công ty Cổ phần Kinh doanh Bất động sản Thái Bình,208.600.000.000,-,,208600000000.0,
,,,Công ty TNHH Phát triển Quốc tế Thế Kỳ 21,,510.500.000.000,,,510500000000.0
,,,Công ty Cổ phần Nova Richstar,-,400.000.000.000,,,400000000000.0
,,,Công ty Cổ phần Nova Festival,-,211.900.000.000,,,211900000000.0
,,,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Bình An,-,169.000.000.000,,,169000000000.0
,,,Công ty TNHH Nova Rivergate,-,124.000.000.000,,,124000000000.0
,,,Công ty TNHH Nova Sasco,-,103.000.000.000,,,103000000000.0
,,,Công ty Cổ phần Cao ốc Phương Đông,-,81.000.000.000,,,81000000000.0
,,,,208.600.000.000,1.599.400.000.000,,208600000000.0,1599400000000.0
ix),ix),ix),Trả tiền vay,Trả tiền vay,Trả tiền vay,,,
,,,Công ty TNHH Nova Rivergate,262.548.000.000,103.583.000.000,,262548000000.0,103583000000.0
,,,Công ty Cổ phần Kinh doanh Bất động sản Thái Bình,167.100.000.000,-,,167100000000.0,
,,,Công ty Cổ phần Cao ốc Phương Đông,140.000.000.000,-,,140000000000.0,
,,,Công ty TNHH Phát triển Quốc tế Thế Kỳ 21,134.871.054.795,20.000.000.000,,134871054795.0,20000000000.0
,,,Công ty Cổ phần Nova Festival,104.987.842.770,145.466.157.230,,104987842770.0,145466157230.0
,,,Công ty TNHH Nova Sasco,78.000.000.000,186.700.000.000,,78000000000.0,186700000000.0
,,,Công ty TNHH Bất động sản Gia Phú,55.000.000.000,-,,55000000000.0,
,,,Công ty TNHH Nova Sagel,12.000.000.000,-,,12000000000.0,
,,,Công ty Cổ phần Nova Richstar,-,400.000.000.000,,,400000000000.0
,,,Công ty TNHH Đầu tư và Phát triển Phước Long,-,259.000.000.000,,,259000000000.0
,,,Công ty Cổ phần Bất động sản Nova Lexington,-,84.000.000.000,,,84000000000.0
,,,Công ty Cổ phần Địa ốc Nova Phù Sa,-,200.000.000,,,200000000.0
,,,,954.506.897.565,1.198.949.157.230,,954506897565.0,1198949157230.0
