row_label_raw,row_label_full,col_0,col_1,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__col_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,,31.12.2018VND,31.12.2017VND,,,
i),i),i),Doanh thu bán hàng và cung cấp dịch vụ (bao gồm Thuế GTGT) (tiếp theo),Doanh thu bán hàng và cung cấp dịch vụ (bao gồm Thuế GTGT) (tiếp theo),Doanh thu bán hàng và cung cấp dịch vụ (bao gồm Thuế GTGT) (tiếp theo),,,
,,,Công ty TNHH Bất động sản Bách Hợp,83.999.995,77.399.996,,83999995.0,77399996.0
,,,Công ty Cổ phần Nova Nippon,83.999.995,66.000.000,,83999995.0,66000000.0
,,,Công ty Cổ phần Nova Hospitality,83.999.995,66.000.000,,83999995.0,66000000.0
,,,Công ty TNHH Bất động sản Gia Đức,83.999.995,55.999.997,,83999995.0,55999997.0
,,,Công ty Cổ phần Đầu tư Ngọc Linh Hoa,83.999.995,-,,83999995.0,
,,,Công ty TNHH Đầu tư và Phát triển Phước Long,83.999.995,-,,83999995.0,
,,,Công ty TNHH Đầu tư Địa ốc Thành Nhơn,83.999.995,-,,83999995.0,
,,,Công ty Cổ phần Phát triển Đô thị Kỹ Nguyên,83.999.995,-,,83999995.0,
,,,Công ty TNHH Đầu Tư và Bất động sản Tường Minh,21.428.572,-,,21428572.0,
,,,Công ty Cổ phần Đầu tư Bất động sản Vương Gia,21.214.288,-,,21214288.0,
,,,Công ty TNHH Đầu tư và Phát triển Bất động sản 350,8.000.001,-,,8000001.0,
,,,Công ty TNHH Mega Tie,-,3.385.643.715,,,3385643715.0
,,,Công ty Cổ phần Bất động sản Nova Lexington,-,186.116.999,,,186116999.0
,,,Công ty Cổ phần The Prince Residence,-,157.291.765,,,157291765.0
,,,Công ty Cổ phần Phát triển Nhà ở và Hạ tầng Sài Gòn,-,149.999.996,,,149999996.0
,,,Công ty Cổ phần Địa ốc Nova Phù Sa,-,99.999.998,,,99999998.0
,,,Công ty Cổ phần Đầu tư Redwood,-,99.999.998,,,99999998.0
,,,,974.317.945.195,799.518.386.909,,974317945195.0,799518386909.0
ii),ii),ii),Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,,,
,,,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,55.056.246.652,10.623.533.580,,55056246652.0,10623533580.0
iii),iii),iii),Chuyển nhượng Bất động sản,Chuyển nhượng Bất động sản,Chuyển nhượng Bất động sản,,,
,,,Công ty TNHH Bất động sản Gia Phú,28.647.338.698,134.102.484.621,,28647338698.0,134102484621.0
,,,Công ty TNHH Đầu tư và Phát triển BDS Nova Phúc Nguyên,3.806.351.217,118.889.135.025,,3806351217.0,118889135025.0
,,,Công ty Cổ phần Nova Festival,2.342.208.385,251.995.599.183,,2342208385.0,251995599183.0
,,,Công ty TNHH Nova Rivergate,766.107.407,39.648.534.089,,766107407.0,39648534089.0
,,,,35.562.005.707,544.635.752.918,,35562005707.0,544635752918.0
