row_label_raw,row_label_full,Năm phát sinh lỗ,Tình trạng kiểm tra của các cơ quan thuế,Số lỗ tính thuế phát sinh VND,Số lỗ tính thuế đã được sử dụng VND,Số lỗ còn được chuyển sang các kỳ tính thuê sau VND,numeric__Tình trạng kiểm tra của các cơ quan thuế,numeric__Số lỗ tính thuế phát sinh VND,numeric__Số lỗ tính thuế đã được sử dụng VND,numeric__Số lỗ còn được chuyển sang các kỳ tính thuê sau VND
2016,2016,2016,Đã quyết toán,181.172.619.981,(82.691.950.982),98.480.668.999,,181172619981.0,-82691950982.0,98480668999.0
2017,2017,2017,Đã quyết toán,876.255.296.654,-,876.255.296.654,,876255296654.0,,876255296654.0
2018,2018,2018,Chưa quyết toán,1.757.842.906.427,-,1.757.842.906.427,,1757842906427.0,,1757842906427.0
