row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2018VND,31.12.2017VND,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.809.394.167.369,421.890.218.428,1809394167369.0,421890218428.0
Thuế tính ở thuế suất 20% (2017: 20%),Thuế tính ở thuế suất 20% (2017: 20%),Thuế tính ở thuế suất 20% (2017: 20%),361.878.833.474,84.378.043.686,361878833474.0,84378043686.0
Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,,,,
Thu nhập không chịu thuế,Điều chỉnh: > Thu nhập không chịu thuế,Thu nhập không chịu thuế,(359.397.257.889),(261.667.060.600),-359397257889.0,-261667060600.0
Chi phí không được khấu trừ,Điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,1.900.165.114,2.459.813.817,1900165114.0,2459813817.0
Lỗ tính thuế đã được sử dụng,Điều chỉnh: > Lỗ tính thuế đã được sử dụng,Lỗ tính thuế đã được sử dụng,(16.116.533.962),(421.856.234),-16116533962.0,-421856234.0
Lỗ tính thuế mà không ghi nhận tài sản thuế thu nhập hoãn lại,Điều chỉnh: > Lỗ tính thuế mà không ghi nhận tài sản thuế thu nhập hoãn lại,Lỗ tính thuế mà không ghi nhận tài sản thuế thu nhập hoãn lại,351.568.581.285,175.251.059.331,351568581285.0,175251059331.0
Chi phí thuế TNDN,Điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,339.833.788.022,-,339833788022.0,
Chi phí thuếTNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh:,Chi phí thuếTNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh:,Chi phí thuếTNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh:,,,,
Thuế TNDN - hiện hành,Chi phí thuếTNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,339.833.788.022,-,339833788022.0,
Thuế TNDN - hoãn lại,Thuế TNDN - hoãn lại,Thuế TNDN - hoãn lại,-,-,,
,,,339.833.788.022,-,339833788022.0,
