row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2018VND,2017VND,,,,
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
31,Mãsố > 31,31,Thu từ phát hành cổ phiếu,,3.643.414.735.626,200.000.000.000,,,3643414735626.0,200000000000.0
33,Mãsố > 33,33,"Thu từ vay ngắn hạn, dài hạn",,14.470.993.767.038,12.515.475.954.629,,,14470993767038.0,12515475954629.0
34,Mãsố > 34,34,Chi trả nợ gốc vay,,(7.757.081.605.185),(8.358.606.729.136),,,-7757081605185.0,-8358606729136.0
36,Mãsố > 36,36,Chi trả cổ tức,,-,(17.100.000.000),,,,-17100000000.0
40,Mãsố > 40,40,Lưu chuyển thuần từ hoạt động tài chính,,10.357.326.897.479,4.339.769.225.493,,,10357326897479.0,4339769225493.0
50,Mãsố > 50,50,Lưu chuyển tiền thuần trong năm,,4.852.011.048.494,(697.338.950.894),,,4852011048494.0,-697338950894.0
60,Mãsố > 60,60,Tiền và các khoản tương đương tiền đầu năm,3,1.455.689.692.352,2.153.027.696.086,,3.0,1455689692352.0,2153027696086.0
61,Mãsố > 61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổingoại tệ,,(83.212.239),947.160,,,-83212239.0,947160.0
70,Mãsố > 70,70,Tiền và các khoản tương đương tiền cuối năm,3,6.307.617.528.607,1.455.689.692.352,,3.0,6307617528607.0,1455689692352.0
