row_label_raw,row_label_full,col_0,col_1,31.12.2018VND,31.12.2017VND,numeric__col_1,numeric__31.12.2018VND,numeric__31.12.2017VND
(a),(a),(a),Vay ngắn hạn,,,,,
,,,Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (i),313.807.500.000,34.102.500.000,,313807500000.0,34102500000.0
,,,Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Nam Sài Gòn (ii),226.342.014.763,73.542.207.620,,226342014763.0,73542207620.0
,,,Maybank International Labuan Branch (i),188.284.500.000,20.461.500.000,,188284500000.0,20461500000.0
,,,"The Shanghai Commercial & Savings Bank, Ltd.– Offshore Banking Branch (i)",62.761.500.000,6.820.500.000,,62761500000.0,6820500000.0
,,,NH TMCP Kiên Long – Chi nhánh Sài Gòn (iii),48.125.000.000,-,,48125000000.0,
,,,"Chailease International Financial Services Co., Ltd (i)",41.841.000.000,4.547.000.000,,41841000000.0,4547000000.0
,,,Ngân hàng Malayan Banking Behard – Chi nhánh Hồ Chí Minh (i),20.016.000.000,2.224.000.000,,20016000000.0,2224000000.0
,,,Ngân hàng TMCP Sài Gòn Thương Tín– Sở giao dịch,-,250.000.000.000,,,250000000000.0
,,,Ngân hàng TMCP Tiên Phong – Chi nhánh Sài Gòn,-,200.000.000.000,,,200000000000.0
,,,,901.177.514.763,591.697.707.620,,901177514763.0,591697707620.0
