row_label_raw,row_label_full,Đặt cọc cho hợp đồng dịch vụ tư vấn đầu tư,273.253.992.251,-,406.589.287.268,-_1,numeric__273.253.992.251,numeric__-,numeric__406.589.287.268,numeric__-_1
"Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",50.739.880.000,-,76.890.000.000,-,50739880000.0,,76890000000.0,
"Đặt cọc, ký quỹ","Đặt cọc, ký quỹ","Đặt cọc, ký quỹ",25.338.241.862,-,25.272.708.234,-,25338241862.0,,25272708234.0,
Đặt cọc mua cổ phần,Đặt cọc mua cổ phần,Đặt cọc mua cổ phần,24.000.000.000,-,49.000.000.000,-,24000000000.0,,49000000000.0,
Lãi cho vay phải thu,Lãi cho vay phải thu,Lãi cho vay phải thu,16.631.053.340,-,158.404.717.510,-,16631053340.0,,158404717510.0,
Tạm ứng,Tạm ứng,Tạm ứng,465.814.040,-,309.624.769,-,465814040.0,,309624769.0,
"Phát triển, hợp tác đầu tư dự án","Phát triển, hợp tác đầu tư dự án","Phát triển, hợp tác đầu tư dự án",-,-,836.285.567.556,-,,,836285567556.0,
Khác,Khác,Khác,64.275.472.435,-,61.243.602.475,-,64275472435.0,,61243602475.0,
,,,454.704.453.928,-,1.613.995.507.812,-,454704453928.0,,1613995507812.0,
