row_label_raw,row_label_full,col_0,Tại ngày1.1.2018VND,Số (phải thu)/ phảinộp trong nămVND,Cán trừtrong nămVND,Số đã thực nộptrong nămVND,Tại ngày31.12.2018VND,numeric__Tại ngày1.1.2018VND,numeric__Số (phải thu)/ phảinộp trong nămVND,numeric__Cán trừtrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Tại ngày31.12.2018VND
a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,,,,,
Thuế GTGT được khấu trừ,a) Phải thu > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,(176.502.020.418),(70.762.401.487),114.252.051.231,-,(133.012.370.674),-176502020418.0,-70762401487.0,114252051231.0,,-133012370674.0
Thuế GTGT nộp thừa,a) Phải thu > Thuế GTGT nộp thừa,Thuế GTGT nộp thừa,(1.044.485.377),-,-,-,(1.044.485.377),-1044485377.0,,,,-1044485377.0
Thuế TNDN tạm nộp 1%,a) Phải thu > Thuế TNDN tạm nộp 1%,Thuế TNDN tạm nộp 1%,(5.720.681.928),-,2.055.432.591,-,(3.665.249.337),-5720681928.0,,2055432591.0,,-3665249337.0
Thuế TNDN theo kết quả hoạt động sản xuấtkinh doanh (nộp thừa),a) Phải thu > Thuế TNDN theo kết quả hoạt động sản xuấtkinh doanh (nộp thừa),Thuế TNDN theo kết quả hoạt động sản xuấtkinh doanh (nộp thừa),(56.616.503.508),-,56.616.503.508,-,-,-56616503508.0,,56616503508.0,,
,,,(239.883.691.231),(70.762.401.487),172.923.987.330,-,(137.722.105.388),-239883691231.0,-70762401487.0,172923987330.0,,-137722105388.0
b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,,,,,
Thuế GTGT,b) Phải nộp > Thuế GTGT,Thuế GTGT,-,114.702.079.690,(114.252.051.231),(450.028.459),-,,114702079690.0,-114252051231.0,-450028459.0,
Thuế TNDN,b) Phải nộp > Thuế TNDN,Thuế TNDN,-,339.833.788.022,(58.671.936.099),(5.000.000.000),276.161.851.923,,339833788022.0,-58671936099.0,-5000000000.0,276161851923.0
Thuế thu nhập cá nhân,b) Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,12.088.580.884,84.831.715.681,-,(83.131.051.329),13.789.245.236,12088580884.0,84831715681.0,,-83131051329.0,13789245236.0
Tiền sử dụng đất,b) Phải nộp > Tiền sử dụng đất,Tiền sử dụng đất,-,156.552.135.372,-,(156.552.135.372),-,,156552135372.0,,-156552135372.0,
Thuế khác,b) Phải nộp > Thuế khác,Thuế khác,3.308.603.408,50.293.136.016,-,(40.930.453.090),12.671.286.334,3308603408.0,50293136016.0,,-40930453090.0,12671286334.0
,,,15.397.184.292,746.212.854.781,(172.923.987.330),(286.063.668.250),302.622.383.493,15397184292.0,746212854781.0,-172923987330.0,-286063668250.0,302622383493.0
