row_label_raw,row_label_full,STT,Tên,Hoạt động chính,Tỷ lệ biểu quyết %,Vốn điều lệ VND,numeric__Tên,numeric__Hoạt động chính,numeric__Tỷ lệ biểu quyết %,numeric__Vốn điều lệ VND
,,,Công ty con gián tiếp:,Công ty con gián tiếp:,Công ty con gián tiếp:,Công ty con gián tiếp:,,,,
1,1,1,Công ty TNHH Đầu tư và Phát triển Bất động sản CQ89,Kinh doanh bất động sản,"99,59",4.902.700.000.000,,,99.59,4902700000000.0
2,2,2,Công ty TNHH Đầu tư và Phát triển Bất động sản 350,Kinh doanh bất động sản,"99,99",2.906.570.000.000,,,99.99,2906570000000.0
3,3,3,Công ty TNHH Phát triển Quốc tế Thế kỷ 21,Kinh doanh bất động sản,"98,97",2.534.458.265.952,,,98.97,2534458265952.0
4,4,4,Công ty Cổ phần Bất động sản Thịnh Vượng,Kinh doanh bất động sản,"100,00",1.239.000.000.000,,,100.0,1239000000000.0
5,5,5,Công ty TNHH Bất động sản Nova Riverside,Kinh doanh bất động sản,"99,98",1.115.144.468.745,,,99.98,1115144468745.0
6,6,6,Công ty TNHH Bất động sản Gia Phú,Kinh doanh bất động sản,"99,99",1.065.000.000.000,,,99.99,1065000000000.0
7,7,7,Công ty TNHH Bất động sản Phúc Bình,Kinh doanh bất động sản,"97,95",974.600.000.000,,,97.95,974600000000.0
8,8,8,Công ty Cổ phần Bất động sản Đĩnh Phát,Kinh doanh bất động sản,"99,92",954.650.000.000,,,99.92,954650000000.0
9,9,9,Công ty Cổ phần Kinh doanh Bất động sản Thái Bình,Kinh doanh bất động sản,"99,96",750.000.000.000,,,99.96,750000000000.0
10,10,10,Công ty Cổ phần Nova Richstar,Kinh doanh bất động sản,"99,99",724.000.000.000,,,99.99,724000000000.0
11,11,11,Công ty TNHH Sài Gòn Gòn,"Kinh doanh sân gôn, cho thuê văn phòng","100,00",588.560.000.000,,,100.0,588560000000.0
