row_label_raw,row_label_full,col_0,col_1,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__col_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,,31.12.2018VND,31.12.2017VND,,,
i),i),i),Doanh thu bán hàng và dịch vụ (bao gồm Thuế GTGT),Doanh thu bán hàng và dịch vụ (bao gồm Thuế GTGT),Doanh thu bán hàng và dịch vụ (bao gồm Thuế GTGT),,,
,,,Công ty TNHH Bất động sản Nova Riverside,136.893.362.199,-,,136893362199.0,
,,,Công ty TNHH Phát triển Quốc tế Thế ký 21,126.737.599.383,318.648.699.887,,126737599383.0,318648699887.0
,,,Công ty TNHH Bất động sản Gia Phú,108.877.777.290,63.890.663.296,,108877777290.0,63890663296.0
,,,Công ty Cổ Phần Nova Richstar,76.574.592.172,56.138.478.000,,76574592172.0,56138478000.0
,,,Công ty TNHH Nova An Phú,70.742.688.096,1.427.381.778,,70742688096.0,1427381778.0
,,,Công ty Cổ phần Đầu tư và Thương mại Nhà Rồng,65.673.687.132,25.812.375.600,,65673687132.0,25812375600.0
,,,Công ty Cổ phần Cao ốc Phương Đông,57.222.642.163,25.793.345.755,,57222642163.0,25793345755.0
,,,Công ty Cổ phần Địa ốc Nhật Hoa,47.984.664.861,9.682.128.413,,47984664861.0,9682128413.0
,,,Công ty TNHH Nova Sasco,46.438.487.456,33.084.300.004,,46438487456.0,33084300004.0
,,,Công ty Cổ phần Kinh doanh Bất động sản Thái Bình,45.905.171.648,-,,45905171648.0,
,,,Công ty TNHH Một thành viên Novaland Agent,44.727.314.369,27.320.538.277,,44727314369.0,27320538277.0
,,,Công ty TNHH Nova Nam Á,25.077.481.825,19.396.695.596,,25077481825.0,19396695596.0
,,,Công ty TNHH Nova Rivergate,25.013.434.636,59.497.306.988,,25013434636.0,59497306988.0
,,,Công ty TNHH Đầu tư Và Phát triển Bất động sảnSun City,23.445.144.034,37.800.000,,23445144034.0,37800000.0
,,,Công ty TNHH Đầu tư và Phát triển Bất động sản NovaPhúc Nguyên,17.335.732.209,39.650.171.207,,17335732209.0,39650171207.0
,,,Công ty Cổ phần Khách sạn Du lịch Thanh niên Vũng Tàu,12.391.533.693,-,,12391533693.0,
,,,Công ty TNHH Merufa-Nova,11.082.954.979,1.891.862.414,,11082954979.0,1891862414.0
,,,Công ty TNHH Nova Sagel,9.518.909.012,34.265.871.600,,9518909012.0,34265871600.0
,,,Công ty Cổ phần Nova Princess Residence,8.344.649.591,15.156.420.133,,8344649591.0,15156420133.0
,,,Công ty Cổ phần Căng Phú Định,5.170.941.600,12.023.898.700,,5170941600.0,12023898700.0
,,,Công ty TNHH Nova Lucky Palace,3.661.730.198,28.693.172.869,,3661730198.0,28693172869.0
,,,Công ty TNHH Nova Property Management,1.896.440.556,41.303.886,,1896440556.0,41303886.0
,,,Công ty Cổ phần Nova Festival,886.320.285,11.895.063.861,,886320285.0,11895063861.0
,,,Công ty Cổ phần Đầu tư Địa ốc No Va,722.010.717,7.769.165.501,,722010717.0,7769165501.0
,,,Công ty Cổ phần Đầu tư Bất động sản Phong Điền,495.000.000,-,,495000000.0,
,,,Công ty TNHH Sài Gòn Gôn,271.032.300,2.439.290.700,,271032300.0,2439290700.0
,,,Công ty TNHH Đầu tư Địa ốc Nova Saigon Royal,83.999.995,149.999.996,,83999995.0,149999996.0
,,,Công ty TNHH Một thành viên Địa ốc No Va,83.999.995,132.000.000,,83999995.0,132000000.0
,,,Công ty Cổ phần Địa ốc Thành Nhơn,83.999.995,83.999.996,,83999995.0,83999996.0
,,,Công ty TNHH No Va Thảo Điền,83.999.995,83.999.996,,83999995.0,83999996.0
,,,Công ty Cổ phần Ngôi Nhà Mega,83.999.995,83.999.996,,83999995.0,83999996.0
,,,Công ty Cổ phần Địa ốc No Va Mỹ Đình,83.999.995,83.999.996,,83999995.0,83999996.0
