row_label_raw,row_label_full,Ngân hàng TMCP Kiên Long – Chi nhánh Sài Gòn (iii),317.625.000.000,-,numeric__317.625.000.000,numeric__-
Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (i),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (i),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (i),-,306.922.500.000,,306922500000.0
Maybank International Labuan Branch (i),Maybank International Labuan Branch (i),Maybank International Labuan Branch (i),-,184.153.500.000,,184153500000.0
"The Shanghai Commercial & Savings Bank, Ltd. – Offshore Banking Branch (ii)","The Shanghai Commercial & Savings Bank, Ltd. – Offshore Banking Branch (ii)","The Shanghai Commercial & Savings Bank, Ltd. – Offshore Banking Branch (ii)",-,61.384.500.000,,61384500000.0
"Chailease International Financial Services co., Ltd (i)","Chailease International Financial Services co., Ltd (i)","Chailease International Financial Services co., Ltd (i)",-,40.923.000.000,,40923000000.0
Ngân hàng Malayan Banking Berhad – Chi nhánh Thành phố Hồ Chí Minh (i),Ngân hàng Malayan Banking Berhad – Chi nhánh Thành phố Hồ Chí Minh (i),Ngân hàng Malayan Banking Berhad – Chi nhánh Thành phố Hồ Chí Minh (i),-,20.016.000.000,,20016000000.0
Ngân hàng TMCP Tiên Phong – Chi nhánh Sài Gòn,Ngân hàng TMCP Tiên Phong – Chi nhánh Sài Gòn,Ngân hàng TMCP Tiên Phong – Chi nhánh Sài Gòn,-,50.000.000.000,,50000000000.0
,,,317.625.000.000,663.399.500.000,317625000000.0,663399500000.0
