row_label_raw,row_label_full,Loại phát hành có chiết khấuCông ty TNHH Chứng khoán Kỹ thương,-,450.000.000.000,numeric__-,numeric__450.000.000.000
Loại phát hành bằng mệnh giá,Loại phát hành bằng mệnh giá,Loại phát hành bằng mệnh giá,Loại phát hành bằng mệnh giá,Loại phát hành bằng mệnh giá,,
Ngân hàng TMCP Kỹ thương Việt Nam (i),Loại phát hành bằng mệnh giá > Ngân hàng TMCP Kỹ thương Việt Nam (i),Ngân hàng TMCP Kỹ thương Việt Nam (i),1.500.000.000.000,-,1500000000000.0,
Ngân hàng TNHH Indovina (i),Loại phát hành bằng mệnh giá > Ngân hàng TNHH Indovina (i),Ngân hàng TNHH Indovina (i),1.050.000.000.000,-,1050000000000.0,
Công ty TNHH Chứng khoán Kỹ thương (i),Loại phát hành bằng mệnh giá > Công ty TNHH Chứng khoán Kỹ thương (i),Công ty TNHH Chứng khoán Kỹ thương (i),750.000.000.000,-,750000000000.0,
Ngân hàng TMCP Quản đội - Chi nhánh Bắc Sài Gòn (ii),Loại phát hành bằng mệnh giá > Ngân hàng TMCP Quản đội - Chi nhánh Bắc Sài Gòn (ii),Ngân hàng TMCP Quản đội - Chi nhánh Bắc Sài Gòn (ii),500.000.000.000,250.000.000.000,500000000000.0,250000000000.0
Công ty Cổ phần Chứng khoán MB (iii),Loại phát hành bằng mệnh giá > Công ty Cổ phần Chứng khoán MB (iii),Công ty Cổ phần Chứng khoán MB (iii),400.000.000.000,-,400000000000.0,
Công ty Cổ phần Chứng khoán IB (iv),Loại phát hành bằng mệnh giá > Công ty Cổ phần Chứng khoán IB (iv),Công ty Cổ phần Chứng khoán IB (iv),346.840.000.000,-,346840000000.0,
Ngân hàng TMCP Công thương – Chi nhánh Thành phố Hồ Chí Minh (v),Loại phát hành bằng mệnh giá > Ngân hàng TMCP Công thương – Chi nhánh Thành phố Hồ Chí Minh (v),Ngân hàng TMCP Công thương – Chi nhánh Thành phố Hồ Chí Minh (v),295.000.000.000,275.000.000.000,295000000000.0,275000000000.0
Tổng công ty Cổ phần Bảo hiểm Ngân hàng TMCP Công thương Việt Nam (vi),Loại phát hành bằng mệnh giá > Tổng công ty Cổ phần Bảo hiểm Ngân hàng TMCP Công thương Việt Nam (vi),Tổng công ty Cổ phần Bảo hiểm Ngân hàng TMCP Công thương Việt Nam (vi),100.000.000.000,,100000000000.0,
Công ty TNHH Vàng bạc đá quý Ngân hàng TMCP Công thương Việt Nam (vi),Loại phát hành bằng mệnh giá > Công ty TNHH Vàng bạc đá quý Ngân hàng TMCP Công thương Việt Nam (vi),Công ty TNHH Vàng bạc đá quý Ngân hàng TMCP Công thương Việt Nam (vi),100.000.000.000,,100000000000.0,
Công ty TNHH Chứng khoán Kỹ thương,Loại phát hành bằng mệnh giá > Công ty TNHH Chứng khoán Kỹ thương,Công ty TNHH Chứng khoán Kỹ thương,-,500.000.000.000,,500000000000.0
Ngân hàng TMCP Bảo Việt,Loại phát hành bằng mệnh giá > Ngân hàng TMCP Bảo Việt,Ngân hàng TMCP Bảo Việt,-,300.000.000.000,,300000000000.0
Ngân hàng TMCP Tiên Phong,Loại phát hành bằng mệnh giá > Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,-,125.000.000.000,,125000000000.0
,,,5.041.840.000.000,1.900.000.000.000,5041840000000.0,1900000000000.0
