row_label_raw,row_label_full,col_0,col_1,31.12.2018VND,31.12.2017VND,numeric__col_1,numeric__31.12.2018VND,numeric__31.12.2017VND
(a),(a),(a),Vay ngắn hạn,,,,,
(a),(a) > (a),(a),Gw Supernova Pte.Ltd. (i),1.162.250.000.000,-,,1162250000000.0,
(a),(a) > (a),(a),"Credit Suisse AG, Chi nhánh Singapore (ii)",286.225.500.000,-,,286225500000.0,
(a),(a) > (a),(a),Crane Investments Limited In Respect Of Series 211 (ii),144.837.000.000,-,,144837000000.0,
(a),(a) > (a),(a),,1.593.312.500.000,-,,1593312500000.0,
(b),(b),(b),Vay dài hạn,,,,,
(b),(b) > (b),(b),"Credit Suisse AG, Chi nhánh Singapore (ii)",1.621.944.500.000,750.255.000.000,,1621944500000.0,750255000000.0
(b),(b) > (b),(b),GPI3 Company Limited (iii),1.392.000.000.000,-,,1392000000000.0,
(b),(b) > (b),(b),Crane Investments Limited In Respect Of Series 211 (ii),820.743.000.000,954.870.000.000,,820743000000.0,954870000000.0
(b),(b) > (b),(b),Gw Supernova Pte.Ltd.,-,1.136.750.000.000,,,1136750000000.0
,,,,3.834.687.500.000,2.841.875.000.000,,3834687500000.0,2841875000000.0
