row_label_raw,row_label_full,col_0,col_1,31.12.2018VND,31.12.2017VND,numeric__col_1,numeric__31.12.2018VND,numeric__31.12.2017VND
(b),(b),(b),Phát hành trái phiếu dài hạn,,,,,
,,,Loại phát hành theo mệnh giá,,,,,
,,,The Bank of New York Mellon – Chi nhánh London (vii),5.555.555.000.000,-,,5555555000000.0,
,,,Ngân hàng TMCP Tiên Phong (viii),1.500.000.000.000,375.000.000.000,,1500000000000.0,375000000000.0
,,,Ngân hàng TMCP Quân đội – Chi nhánh Bắc Sài Gòn (ix),400.000.000.000,-,,400000000000.0,
,,,Tập đoàn Bảo Việt (x),200.000.000.000,200.000.000.000,,200000000000.0,200000000000.0
,,,Ngân hàng TMCP Công thương – Chi nhánh Thành phố Hồ Chí Minh (v),146.000.000.000,441.000.000.000,,146000000000.0,441000000000.0
,,,Ngân hàng TMCP Quân đội – Chi nhánh Bắc Sài Gòn,-,750.000.000.000,,,750000000000.0
,,,Công ty TNHH Chứng khoán Kỹ thương,-,250.000.000.000,,,250000000000.0
,,,Ngân hàng TMCP Kỹ thương Việt Nam,-,1.000.000.000.000,,,1000000000000.0
,,,Ngân hàng TNHH Indovina,-,1.050.000.000.000,,,1050000000000.0
,,,Ngân hàng TMCP Kỹ thương Việt Nam,-,500.000.000.000,,,500000000000.0
,,,Công ty TNHH Chứng khoán Kỹ thương,-,500.000.000.000,,,500000000000.0
,,,Ngân hàng TMCP Quân đội – Chi nhánh Bắc Sài Gòn,-,500.000.000.000,,,500000000000.0
,,,,7.801.555.000.000,5.566.000.000.000,,7801555000000.0,5566000000000.0
