row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND",Quyền sử dụng đất VND,Tổng cộng VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Quyền sử dụng đất VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2018,Nguyên giá > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,318.118.879.445,1.013.743.429.102,1.331.862.308.547,318118879445.0,1013743429102.0,1331862308547.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,37.851.172.138,-,37.851.172.138,37851172138.0,,37851172138.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(46.019.267.852),(7.693.482.739),(53.712.750.591),-46019267852.0,-7693482739.0,-53712750591.0
Tại ngày 31 tháng 12 năm 2018,Nguyên giá > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,309.950.783.731,1.006.049.946.363,1.316.000.730.094,309950783731.0,1006049946363.0,1316000730094.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,(17.382.509.164),-,(17.382.509.164),-17382509164.0,,-17382509164.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(6.335.032.058),-,(6.335.032.058),-6335032058.0,,-6335032058.0
Khác,Khấu hao lũy kế > Khác,Khác,706.517.261,-,706.517.261,706517261.0,,706517261.0
Tại ngày 31 tháng 12 năm 2018,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,(23.011.023.961),-,(23.011.023.961),-23011023961.0,,-23011023961.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2018,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,300.736.370.281,1.013.743.429.102,1.314.479.799.383,300736370281.0,1013743429102.0,1314479799383.0
Tại ngày 31 tháng 12 năm 2018,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,286.939.759.770,1.006.049.946.363,1.292.989.706.133,286939759770.0,1006049946363.0,1292989706133.0
