row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Phần mềm, bản quyền VND",Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Phần mềm, bản quyền VND",numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2018,Nguyên giá > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,34.880.498.260,15.269.451.784,50.149.950.044,34880498260.0,15269451784.0,50149950044.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,2.068.014.950,2.068.014.950,,2068014950.0,2068014950.0
Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 15),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 15),Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 15),33.701.967.327,5.612.611.876,39.314.579.203,33701967327.0,5612611876.0,39314579203.0
Tại ngày 31 tháng 12 năm 2018,Nguyên giá > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,68.582.465.587,22.950.078.610,91.532.544.197,68582465587.0,22950078610.0,91532544197.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,-,(5.420.903.565),(5.420.903.565),,-5420903565.0,-5420903565.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(4.589.561.146),(4.589.561.146),,-4589561146.0,-4589561146.0
Tại ngày 31 tháng 12 năm 2018,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,-,(10.010.464.711),(10.010.464.711),,-10010464711.0,-10010464711.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2018,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,34.880.498.260,9.848.548.219,44.729.046.479,34880498260.0,9848548219.0,44729046479.0
Tại ngày 31 tháng 12 năm 2018,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,68.582.465.587,12.939.613.899,81.522.079.486,68582465587.0,12939613899.0,81522079486.0
