row_label_raw,row_label_full,col_0,col_1,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__col_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,,31.12.2018VND,31.12.2017VND,,,
x),x),x),Lãi cho vay,Lãi cho vay,Lãi cho vay,,,
,,,Công ty TNHH Đầu tư Địa ốc Nova Saigon Royal,29.373.745.228,53.940.412.501,,29373745228.0,53940412501.0
,,,Công ty TNHH Nova Sasco,7.215.661.111,48.748.826.390,,7215661111.0,48748826390.0
,,,Công ty TNHH Bất động sản Khải Hưng,6.666.497.267,23.186.732.605,,6666497267.0,23186732605.0
,,,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,3.409.254.775,4.553.310.664,,3409254775.0,4553310664.0
,,,Công ty TNHH Nova Nam Á,2.535.803.561,37.957.074.566,,2535803561.0,37957074566.0
,,,Công ty TNHH Đầu tư và Phát triển Bất động sảnNova Phúc Nguyên,1.350.904.686,9.444.361.222,,1350904686.0,9444361222.0
,,,Công ty Cổ phần Ngôi nhà Mega,-,12.473.602.129,,,12473602129.0
,,,Công ty TNHH Nova An Phú,-,11.742.319.455,,,11742319455.0
,,,Công ty Cổ phần Đầu tư Địa ốc No Va,-,955.295.194,,,955295194.0
,,,Công ty TNHH Nova Rivergate,-,684.302.012,,,684302012.0
,,,,50.551.866.628,203.686.236.738,,50551866628.0,203686236738.0
xi),xi),xi),Lãi đi vay,Lãi đi vay,Lãi đi vay,,,
,,,Công ty TNHH Phát triển Quốc tế Thế Kỷ 21,49.363.843.302,26.429.484.020,,49363843302.0,26429484020.0
,,,Công ty TNHH Nova Rivergate,35.467.552.975,37.956.997.482,,35467552975.0,37956997482.0
,,,Công ty Cổ phần Cao ốc Phương Đông,11.220.360.924,13.219.130.411,,11220360924.0,13219130411.0
,,,Công ty Cổ phần Nova Festival,9.835.395.594,6.374.748.972,,9835395594.0,6374748972.0
,,,Công ty TNHH Bất động sản Gia Phú,7.391.095.893,2.573.698.630,,7391095893.0,2573698630.0
,,,Công ty Cổ phần Kinh doanh Bất động sản Thái Bình,5.032.465.753,-,,5032465753.0,
,,,Công ty TNHH Nova Sasco,512.876.712,9.703.403.197,,512876712.0,9703403197.0
,,,Công ty TNHH Nova Sagel,41.666.667,608.333.334,,41666667.0,608333334.0
,,,Công ty TNHH Đầu tư và Phát triển Phước Long,-,7.016.608.335,,,7016608335.0
,,,Công ty Cổ phần Nova Richstar,-,10.060.273.973,,,10060273973.0
,,,Công ty Cổ phần Bất động sản Nova Lexington,-,365.863.426,,,365863426.0
,,,Công ty Cổ phần Đầu tư và Phát triển Nova Phù Sa,-,185.569.447,,,185569447.0
,,,Công ty Cổ phần Địa ốc Nova Galaxy,-,156.260.274,,,156260274.0
,,,,118.865.257.820,114.650.371.501,,118865257820.0,114650371501.0
xii),xii),xii),Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,,,
,,,Công ty TNHH Nova Property Management,-,67.156.363.636,,,67156363636.0
xiii),xiii),xiii),Các khoản chi cho các nhân sự quản lý chủ chốt,Các khoản chi cho các nhân sự quản lý chủ chốt,Các khoản chi cho các nhân sự quản lý chủ chốt,,,
,,,Lương và các quyền lợi gộp khác,23.726.625.300,35.024.121.743,,23726625300.0,35024121743.0
