row_label_raw,row_label_full,22 CÁC KHOẢN VAY,22 CÁC KHOẢN VAY_1,22 CÁC KHOẢN VAY_2,22 CÁC KHOẢN VAY_3,22 CÁC KHOẢN VAY_4,22 CÁC KHOẢN VAY_5,22 CÁC KHOẢN VAY_6,numeric__22 CÁC KHOẢN VAY_1,numeric__22 CÁC KHOẢN VAY_2,numeric__22 CÁC KHOẢN VAY_3,numeric__22 CÁC KHOẢN VAY_4,numeric__22 CÁC KHOẢN VAY_5,numeric__22 CÁC KHOẢN VAY_6
(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,,,,,,
,,,Tại ngày1.1.2018VND,Nhận tiền vayVND,Đánh giá chênh lệch tỷ giáVND,Vay dài hạn đến hạn trảVND,Trả nợ vayVND,Tại ngày31.12.2018VND,,,,,,
Vay ngân hàng (*),(a) Vay ngắn hạn > Vay ngân hàng (*),Vay ngân hàng (*),591.697.707.620,677.542.014.763,14.473.900.000,680.774.500.000,(1.063.310.607.620),901.177.514.763,591697707620.0,677542014763.0,14473900000.0,680774500000.0,-1063310607620.0,901177514763.0
Vay bên liên quan (**) (Thuyết minh 38(b)),(a) Vay ngắn hạn > Vay bên liên quan (**) (Thuyết minh 38(b)),Vay bên liên quan (**) (Thuyết minh 38(b)),1.809.452.675.370,208.600.000.000,-,-,(954.506.897.565),1.063.545.777.805,1809452675370.0,208600000000.0,,,-954506897565.0,1063545777805.0
Vay bên thứ ba (***),(a) Vay ngắn hạn > Vay bên thứ ba (***),Vay bên thứ ba (***),-,2.665.400.000.000,30.206.250.000,1.563.106.250.000,(2.665.400.000.000),1.593.312.500.000,,2665400000000.0,30206250000.0,1563106250000.0,-2665400000000.0,1593312500000.0
Trái phiếu (****),(a) Vay ngắn hạn > Trái phiếu (****),Trái phiếu (****),1.900.000.000.000,946.840.000.000,-,5.220.000.000.000,(3.025.000.000.000),5.041.840.000.000,1900000000000.0,946840000000.0,,5220000000000.0,-3025000000000.0,5041840000000.0
Chi phí phát hành trái phiếu,(a) Vay ngắn hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,(21.013.963.636),-,(41.095.364.388),43.567.329.170,(18.541.998.854),,-21013963636.0,,-41095364388.0,43567329170.0,-18541998854.0
,,,4.301.150.382.990,4.477.368.051.127,44.680.150.000,7.422.785.385.612,(7.664.650.176.015),8.581.333.793.714,4301150382990.0,4477368051127.0,44680150000.0,7422785385612.0,-7664650176015.0,8581333793714.0
(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,(b) Vay dài hạn,,,,,,
,,,Tại ngày1.1.2018VND,Nhận tiền vayVND,Đánh giá chênh lệch tỷ giáVND,Vay dài hạn đến hạn trảVND,Trả nợ vayVND,Tại ngày31.12.2018VND,,,,,,
Vay ngân hàng (*),(b) Vay dài hạn > Vay ngân hàng (*),Vay ngân hàng (*),663.399.500.000,385.000.000.000,-,(680.774.500.000),(50.000.000.000),317.625.000.000,663399500000.0,385000000000.0,,-680774500000.0,-50000000000.0,317625000000.0
Vay bên thứ ba (***),(b) Vay dài hạn > Vay bên thứ ba (***),Vay bên thứ ba (***),2.841.875.000.000,2.529.250.000.000,26.668.750.000,(1.563.106.250.000),-,3.834.687.500.000,2841875000000.0,2529250000000.0,26668750000.0,-1563106250000.0,,3834687500000.0
Trái phiếu (****),(b) Vay dài hạn > Trái phiếu (****),Trái phiếu (****),5.566.000.000.000,7.416.800.000.000,61.528.000.000,(5.220.000.000.000),(22.773.000.000),7.801.555.000.000,5566000000000.0,7416800000000.0,61528000000.0,-5220000000000.0,-22773000000.0,7801555000000.0
Chi phí phát hành trái phiếu,(b) Vay dài hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(48.760.194.439),(337.424.284.089),-,41.095.364.388,32.802.784.267,(312.286.329.873),-48760194439.0,-337424284089.0,,41095364388.0,32802784267.0,-312286329873.0
,,,9.022.514.305.561,9.993.625.715.911,88.196.750.000,(7.422.785.385.612),(39.970.215.733),11.641.581.170.127,9022514305561.0,9993625715911.0,88196750000.0,-7422785385612.0,-39970215733.0,11641581170127.0
