row_label_raw,row_label_full,STT,Tên,Hoạt động chính,Tỷ lệ biểu quyết %,Vốn điều lệ VND,numeric__Tên,numeric__Hoạt động chính,numeric__Tỷ lệ biểu quyết %,numeric__Vốn điều lệ VND
12,12,12,Công ty Cổ phần Địa ốc Nhật Hoa,Kinh doanh bất động sản,"99,98",510.000.000.000,,,99.98,510000000000.0
13,13,13,Công ty Cổ phần Đầu tư và Thương mại Nhà Rồng,Kinh doanh bất động sản,"99,97",327.426.000.000,,,99.97,327426000000.0
14,14,14,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,Kinh doanh bất động sản,"99,98",363.000.000.000,,,99.98,363000000000.0
15,15,15,Công ty Cổ phần Đầu tư Bất động sản Vương Gia,Kinh doanh bất động sản,"99,83",240.087.000.000,,,99.83,240087000000.0
16,16,16,Công ty TNHH Mega Tie,Kinh doanh bất động sản,"99,99",191.400.000.000,,,99.99,191400000000.0
17,17,17,Công ty Cổ phần Cao ốc Phương Đông,Kinh doanh bất động sản,"99,89",166.000.000.000,,,99.89,166000000000.0
18,18,18,Công ty TNHH Merufa-Nova,Kinh doanh bất động sản,"99,90",125.000.000.000,,,99.9,125000000000.0
,,,Công ty liên kết gián tiếp:,Công ty liên kết gián tiếp:,Công ty liên kết gián tiếp:,Công ty liên kết gián tiếp:,,,,
1,1,1,Công ty Cổ phần Thạnh Mỹ Lợi (*),Kinh doanh bất động sản,"55,88",2.162.154.260.000,,,55.88,2162154260000.0
2,2,2,Công ty Cổ phần Phát Triển Đất Việt,Kinh doanh bất động sản,"49,51",2.020.000.000.000,,,49.51,2020000000000.0
