row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2018VND,31.12.2017VND,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Tiền phạt thu được,Thu nhập khác > Tiền phạt thu được,Tiền phạt thu được,13.488.034.725,7.400.117.636,13488034725.0,7400117636.0
Lãi do thanh lý tài sản cố định,Thu nhập khác > Lãi do thanh lý tài sản cố định,Lãi do thanh lý tài sản cố định,438.660.606,-,438660606.0,
Khác,Thu nhập khác > Khác,Khác,312.733.071,3.257.776.595,312733071.0,3257776595.0
,,,14.239.428.402,10.657.894.231,14239428402.0,10657894231.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Các khoản tiền phạt,Chi phí khác > Các khoản tiền phạt,Các khoản tiền phạt,(8.484.515.923),(12.298.369.038),-8484515923.0,-12298369038.0
Giá trị còn lại của tài sản thanh lý,Chi phí khác > Giá trị còn lại của tài sản thanh lý,Giá trị còn lại của tài sản thanh lý,-,(3.069.824.808),,-3069824808.0
Khác,Chi phí khác > Khác,Khác,(160.290.552),(8.643.006.116),-160290552.0,-8643006116.0
,,,(8.644.806.475),(24.011.199.962),-8644806475.0,-24011199962.0
Lợi nhuận/(lỗ) khác,Chi phí khác > Lợi nhuận/(lỗ) khác,Lợi nhuận/(lỗ) khác,5.594.621.927,(13.353.305.731),5594621927.0,-13353305731.0
