row_label_raw,row_label_full,STT,Tên công ty,Hoạt động chính,Quyền sở hữu và biểu quyết %,Giá gốc VND,Giá trị hợp lý VND,Dự phòng VND,Quyền sở hữu và biểu quyết %_1,Giá gốc VND_1,Giá trị hợp lý VND_1,Dự phòng VND_1,numeric__Tên công ty,numeric__Hoạt động chính,numeric__Quyền sở hữu và biểu quyết %,numeric__Giá gốc VND,numeric__Giá trị hợp lý VND,numeric__Dự phòng VND,numeric__Quyền sở hữu và biểu quyết %_1,numeric__Giá gốc VND_1,numeric__Giá trị hợp lý VND_1,numeric__Dự phòng VND_1
1,1,1,Công ty Cổ phần Địa ốc No Va Mỹ Đình,Kinh doanh bất động sản,"99,99",5.501.386.000.000,(*),-,"99,98",19.996.000.000,(*),-,,,99.99,5501386000000.0,,,99.98,19996000000.0,,
2,2,2,Công ty TNHH Bất động sản Khải Hưng,Kinh doanh bất động sản,"96,94",5.020.965.000.000,(*),-,"95,97",3.773.925.000.000,(*),-,,,96.94,5020965000000.0,,,95.97,3773925000000.0,,
3,3,3,Công ty TNHH Bất động sản Bách Hợp,Kinh doanh bất động sản,"99,97",2.148.356.560.000,(*),-,"99,99",212.978.700.000,(*),-,,,99.97,2148356560000.0,,,99.99,212978700000.0,,
4,4,4,Công ty TNHH Đầu tư Địa ốc Thành Nhơn,Kinh doanh bất động sản,"99,99",1.319.868.000.000,(*),-,"98,48",1.300.000.000.000,(*),-,,,99.99,1319868000000.0,,,98.48,1300000000000.0,,
5,5,5,Công ty TNHH Bất động sản Gia Đức,Kinh doanh bất động sản,"99,99",1.243.200.000.000,(*),-,"99,99",1.938.950.000.000,(*),-,,,99.99,1243200000000.0,,,99.99,1938950000000.0,,
6,6,6,Công ty TNHH No Va Thảo Điền,Kinh doanh bất động sản,"99,98",1.202.996.000.000,(*),-,"100,00",1.102.996.000.000,(*),-,,,99.98,1202996000000.0,,,100.0,1102996000000.0,,
7,7,7,Công ty Cổ phần Đầu tư Địa ốc No Va,Kinh doanh bất động sản,"91,76",1.188.300.000.000,(*),-,"91,76",1.188.300.000.000,(*),-,,,91.76,1188300000000.0,,,91.76,1188300000000.0,,
8,8,8,Công ty Cổ phần Nova Nippon,Kinh doanh bất động sản,"99,98",1.078.775.700.000,(*),-,"99,98",19.996.000.000,(*),-,,,99.98,1078775700000.0,,,99.98,19996000000.0,,
9,9,9,Công ty TNHH Đầu tư và Phát triển Bất động sản Sun City (**),Kinh doanh bất động sản,"49,00",955.500.000.000,(*),-,-,-,-,-,,,49.0,955500000000.0,,,,,,
10,10,10,Công ty Cổ phần Cảng Phú Đình,"Hoạt động hỗ trợ liên quan đến vận tải, kinh doanh bất động sản","59,73",941.511.225.000,(*),-,"59,73",941.511.225.000,(*),-,,,59.73,941511225000.0,,,59.73,941511225000.0,,
11,11,11,Công ty TNHH Nova Rivergate,Kinh doanh bất động sản,"99,77",936.201.410.000,(*),-,"99,77",936.201.410.000,(*),-,,,99.77,936201410000.0,,,99.77,936201410000.0,,
12,12,12,Công ty Cổ phần Địa ốc Thành Nhơn,Kinh doanh bất động sản,"51,00",732.869.100.000,(*),-,"51,00",383.688.700.000,(*),-,,,51.0,732869100000.0,,,51.0,383688700000.0,,
13,13,13,Công ty Cổ phần Đầu tư Ngọc Linh Hoa,Kinh doanh bất động sản,"99,83",579.000.000.000,(*),-,"99,83",579.000.000.000,(*),-,,,99.83,579000000000.0,,,99.83,579000000000.0,,
14,14,14,Công ty TNHH Nova Sasco,Kinh doanh bất động sản,"99,99",528.310.550.000,(*),-,"99,99",528.310.550.000,(*),-,,,99.99,528310550000.0,,,99.99,528310550000.0,,
15,15,15,Công ty TNHH Đầu tư và Phát triển Phước Long,Kinh doanh bất động sản,"99,99",469.967.000.000,(*),-,"99,99",469.967.000.000,(*),-,,,99.99,469967000000.0,,,99.99,469967000000.0,,
16,16,16,Công ty TNHH Nova Nam Á,Kinh doanh bất động sản,"92,70",374.918.018.977,(*),-,"83,16",293.913.568.467,(*),-,,,92.7,374918018977.0,,,83.16,293913568467.0,,
17,17,17,Công ty Cổ phần Nova Princess Residence,Kinh doanh bất động sản,"99,90",366.707.530.000,(*),-,"99,90",366.707.530.000,(*),-,,,99.9,366707530000.0,,,99.9,366707530000.0,,
18,18,18,Công ty Cổ phần The Prince Residence,Kinh doanh bất động sản,"99,81",338.947.200.000,(*),-,"99,81",338.947.200.000,(*),-,,,99.81,338947200000.0,,,99.81,338947200000.0,,
