row_label_raw,row_label_full,Mãsô,NGUÔN VÔN (tiêp theo),Thuyếtminh,Tại ngày,Tại ngày_1,numeric__NGUÔN VÔN (tiêp theo),numeric__Thuyếtminh,numeric__Tại ngày,numeric__Tại ngày_1
Mãsô,Mãsô,Mãsô,NGUÔN VÔN (tiêp theo),Thuyếtminh,31.12.2023VND,01.01.2023VND,,,,
400,Mãsô > 400,400,VÔN CHỦ SỞ HỮU,,3.705.543.397.267,3.538.895.085.354,,,3705543397267.0,3538895085354.0
410,Mãsô > 410,410,Vôn chủ sở hữu,V.21,3.705.543.397.267,3.538.895.085.354,,,3705543397267.0,3538895085354.0
411,Mãsô > 411,411,Vốn góp của chủ sở hữu,,3.293.503.510.000,3.078.044.500.000,,,3293503510000.0,3078044500000.0
411a,Mãsô > 411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,3.293.503.510.000,3.078.044.500.000,,,3293503510000.0,3078044500000.0
412,Mãsô > 412,412,Thặng dư vốn cổ phần,,(876.900.000),(537.900.000),,,-876900000.0,-537900000.0
418,Mãsô > 418,418,Quỹ đầu tư phát triển,,8.822.456.079,7.148.483.380,,,8822456079.0,7148483380.0
421,Mãsô > 421,421,"Lợi nhuận sau thuế (""LNST"")chưa phân phối",,404.094.331.188,454.240.001.974,,,404094331188.0,454240001974.0
421a,Mãsô > 421a,421a,- LNST chưa phân phối lũy kế của các năm trước,,232.085.101.179,288.749.732.106,,,232085101179.0,288749732106.0
421b,Mãsô > 421b,421b,- LNST chưa phân phối của năm nay,,172.009.230.009,165.490.269.868,,,172009230009.0,165490269868.0
440,Mãsô > 440,440,TỔNG NGUÔN VÔN,,4.615.596.461.544,4.361.706.596.018,,,4615596461544.0,4361706596018.0
